,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,,,,
Position,Track Name,Artist,Streams,URL,Week Beginning,Week Ending,Country
1,Dance Monkey,Tones And I,27459,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,12/27/2019,1/3/2020,Bulgaria
2,OUT WEST (feat. Young Thug),JACKBOYS,21661,https://open.spotify.com/track/6gi6y1xwmVszDWkUqab1qw,12/27/2019,1/3/2020,Bulgaria
3,HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX,Travis Scott,21516,https://open.spotify.com/track/7h0d2h0fUmzbs7zeFigJPn,12/27/2019,1/3/2020,Bulgaria
4,GANG GANG,JACKBOYS,19959,https://open.spotify.com/track/6uJONCdr2rC65BNmCnTBWK,12/27/2019,1/3/2020,Bulgaria
5,WHAT TO DO? (feat. Don Toliver),JACKBOYS,19625,https://open.spotify.com/track/4AO1XhrgJczQ9bNVxdfKQe,12/27/2019,1/3/2020,Bulgaria
6,Falling,Trevor Daniel,19572,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa,12/27/2019,1/3/2020,Bulgaria
7,Roses - Imanbek Remix,SAINt JHN,18026,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI,12/27/2019,1/3/2020,Bulgaria
8,Heartless,The Weeknd,17506,https://open.spotify.com/track/57vxBYXtHMk6H1aD29V7PU,12/27/2019,1/3/2020,Bulgaria
9,ROXANNE,Arizona Zervas,16885,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK,12/27/2019,1/3/2020,Bulgaria
10,HIGHEST IN THE ROOM,Travis Scott,16546,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW,12/27/2019,1/3/2020,Bulgaria
11,Blinding Lights,The Weeknd,16409,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD,12/27/2019,1/3/2020,Bulgaria
12,bad guy,Billie Eilish,16324,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,12/27/2019,1/3/2020,Bulgaria
13,everything i wanted,Billie Eilish,16089,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ,12/27/2019,1/3/2020,Bulgaria
14,Ayy Macarena,Tyga,15171,https://open.spotify.com/track/6LcauUZjF1eXQrgqMUecHX,12/27/2019,1/3/2020,Bulgaria
15,Don't Start Now,Dua Lipa,15118,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg,12/27/2019,1/3/2020,Bulgaria
16,Señorita,Shawn Mendes,14657,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2,12/27/2019,1/3/2020,Bulgaria
17,Had Enough (feat. Quavo & Offset),Don Toliver,14637,https://open.spotify.com/track/2jrAaawDRCn1JjeouxAyDN,12/27/2019,1/3/2020,Bulgaria
18,My Oh My (feat. DaBaby),Camila Cabello,13570,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K,12/27/2019,1/3/2020,Bulgaria
19,GATTI,JACKBOYS,12713,https://open.spotify.com/track/40mjsnRjCpycdUw3xhS20g,12/27/2019,1/3/2020,Bulgaria
