,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,,,,
Position,Track Name,Artist,Streams,URL,Week Beginning,Week Ending,Country
1,Liberdade Provisória,Henrique & Juliano,6445899,https://open.spotify.com/track/1vG3YuKRYqPwTmNmYgqkpg,12/27/2019,1/3/2020,Brazil
2,SENTADÃO,PEDRO SAMPAIO,5007845,https://open.spotify.com/track/4lKuzrdZrJuCAedbIslF3A,12/27/2019,1/3/2020,Brazil
3,Combatchy (feat. MC Rebecca),Anitta,4896894,https://open.spotify.com/track/2bPtwnrpFNEe8N7Q85kLHw,12/27/2019,1/3/2020,Brazil
4,Cheirosa - Ao Vivo,Jorge & Mateus,4527810,https://open.spotify.com/track/2PWjKmjyTZeDpmOUa3a5da,12/27/2019,1/3/2020,Brazil
5,Supera - Ao Vivo,Marília Mendonça,4430973,https://open.spotify.com/track/3GmJxfnUDrIs1iCfKUELFz,12/27/2019,1/3/2020,Brazil
6,Surtada - Remix Brega Funk,Dadá Boladão,4414417,https://open.spotify.com/track/5F8ffc8KWKNawllr5WsW0r,12/27/2019,1/3/2020,Brazil
7,Bebi Minha Bicicleta (Coração Falido) - Ao Vivo,Zé Neto & Cristiano,3965421,https://open.spotify.com/track/2Q9TaUXNM4mNSCgJjbmsJe,12/27/2019,1/3/2020,Brazil
8,A Gente Fez Amor - Ao Vivo,Gusttavo Lima,3808032,https://open.spotify.com/track/3tv697PZNnaQN0Mn2zGhS5,12/27/2019,1/3/2020,Brazil
9,Some que ele vem atrás,Anitta,3704327,https://open.spotify.com/track/2qD7VoDYcrAPY0cVEfpsR5,12/27/2019,1/3/2020,Brazil
10,3 Batidas - Ao Vivo,Guilherme & Benuto,3541737,https://open.spotify.com/track/1uryupl9hqVZYurJwH4G9k,12/27/2019,1/3/2020,Brazil
11,Verdinha,Ludmilla,3525763,https://open.spotify.com/track/2RMOwSvOGQyy985Vx4VSGQ,12/27/2019,1/3/2020,Brazil
12,Tijolão - Ao Vivo,Jorge & Mateus,3402426,https://open.spotify.com/track/6QwFUcPc5nhsqZuhXUYtV7,12/27/2019,1/3/2020,Brazil
