,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,,,,
Position,Track Name,Artist,Streams,URL,Week Beginning,Week Ending,Country
1,Dance Monkey,Tones And I,1715365,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,12/27/2019,1/3/2020,Canada
2,The Box,Roddy Ricch,1496556,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I,12/27/2019,1/3/2020,Canada
3,ROXANNE,Arizona Zervas,1494734,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK,12/27/2019,1/3/2020,Canada
4,Circles,Post Malone,1183668,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,12/27/2019,1/3/2020,Canada
5,Falling,Trevor Daniel,1043956,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa,12/27/2019,1/3/2020,Canada
6,Blinding Lights,The Weeknd,981135,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD,12/27/2019,1/3/2020,Canada
7,Memories,Maroon 5,913554,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM,12/27/2019,1/3/2020,Canada
8,My Oh My (feat. DaBaby),Camila Cabello,863399,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K,12/27/2019,1/3/2020,Canada
9,Don't Start Now,Dua Lipa,861070,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg,12/27/2019,1/3/2020,Canada
10,Someone You Loved,Lewis Capaldi,855186,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,12/27/2019,1/3/2020,Canada
11,Futsal Shuffle 2020,Lil Uzi Vert,812187,https://open.spotify.com/track/2Ec33AVlkTTq8BHFgBTdQs,12/27/2019,1/3/2020,Canada
12,everything i wanted,Billie Eilish,792264,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ,12/27/2019,1/3/2020,Canada
13,HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX,Travis Scott,790634,https://open.spotify.com/track/7h0d2h0fUmzbs7zeFigJPn,12/27/2019,1/3/2020,Canada
14,Bandit (with YoungBoy Never Broke Again),Juice WRLD,770130,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd,12/27/2019,1/3/2020,Canada
15,BOP,DaBaby,742488,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN,12/27/2019,1/3/2020,Canada
16,Adore You,Harry Styles,741674,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7,12/27/2019,1/3/2020,Canada
17,Señorita,Shawn Mendes,727475,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2,12/27/2019,1/3/2020,Canada
18,OUT WEST (feat. Young Thug),JACKBOYS,725550,https://open.spotify.com/track/6gi6y1xwmVszDWkUqab1qw,12/27/2019,1/3/2020,Canada
19,Heartless,The Weeknd,723955,https://open.spotify.com/track/57vxBYXtHMk6H1aD29V7PU,12/27/2019,1/3/2020,Canada
20,GANG GANG,JACKBOYS,711691,https://open.spotify.com/track/6uJONCdr2rC65BNmCnTBWK,12/27/2019,1/3/2020,Canada
21,hot girl bummer,blackbear,691352,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku,12/27/2019,1/3/2020,Canada
22,bad guy,Billie Eilish,681925,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,12/27/2019,1/3/2020,Canada
23,WHAT TO DO? (feat. Don Toliver),JACKBOYS,660371,https://open.spotify.com/track/4AO1XhrgJczQ9bNVxdfKQe,12/27/2019,1/3/2020,Canada
24,HIGHEST IN THE ROOM,Travis Scott,655251,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW,12/27/2019,1/3/2020,Canada
25,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,654940,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY,12/27/2019,1/3/2020,Canada
26,Watermelon Sugar,Harry Styles,626877,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY,12/27/2019,1/3/2020,Canada
27,Lose You To Love Me,Selena Gomez,621863,https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5,12/27/2019,1/3/2020,Canada
28,No Idea,Don Toliver,612551,https://open.spotify.com/track/3VyjsVV24RmBIbWJAeUJNu,12/27/2019,1/3/2020,Canada
29,Had Enough (feat. Quavo & Offset),Don Toliver,599139,https://open.spotify.com/track/2jrAaawDRCn1JjeouxAyDN,12/27/2019,1/3/2020,Canada
30,Suicidal,YNW Melly,588440,https://open.spotify.com/track/1iSqfoUFnQwV0QW1EfUit8,12/27/2019,1/3/2020,Canada
31,"10,000 Hours (with Justin Bieber)",Dan + Shay,565713,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa,12/27/2019,1/3/2020,Canada
32,Ballin' (with Roddy Ricch),Mustard,564995,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY,12/27/2019,1/3/2020,Canada
33,Lucid Dreams,Juice WRLD,559453,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR,12/27/2019,1/3/2020,Canada
34,If the World Was Ending - feat. Julia Michaels,JP Saxe,544685,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ,12/27/2019,1/3/2020,Canada
35,RITMO (Bad Boys For Life),Black Eyed Peas,538549,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf,12/27/2019,1/3/2020,Canada
36,Ransom,Lil Tecca,538526,https://open.spotify.com/track/1lOe9qE0vR9zwWQAOk6CoO,12/27/2019,1/3/2020,Canada
37,Beautiful People (feat. Khalid),Ed Sheeran,532185,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv,12/27/2019,1/3/2020,Canada
38,Before You Go,Lewis Capaldi,514415,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP,12/27/2019,1/3/2020,Canada
39,GATTI,JACKBOYS,505832,https://open.spotify.com/track/40mjsnRjCpycdUw3xhS20g,12/27/2019,1/3/2020,Canada
40,Money In The Grave (Drake ft. Rick Ross),Drake,505369,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb,12/27/2019,1/3/2020,Canada
41,Truth Hurts,Lizzo,490171,https://open.spotify.com/track/5qmq61DAAOUaW8AUo8xKhh,12/27/2019,1/3/2020,Canada
42,Old Town Road - Remix,Lil Nas X,485412,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG,12/27/2019,1/3/2020,Canada
43,Ride It,Regard,484775,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ,12/27/2019,1/3/2020,Canada
44,I Don't Care (with Justin Bieber),Ed Sheeran,479222,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9,12/27/2019,1/3/2020,Canada
45,One Thing Right,Marshmello,474285,https://open.spotify.com/track/4hPpVbbakQNv8YTHYaOJP4,12/27/2019,1/3/2020,Canada
46,Lalala,Y2K,471940,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo,12/27/2019,1/3/2020,Canada
47,Good as Hell (feat. Ariana Grande) - Remix,Lizzo,467325,https://open.spotify.com/track/07Oz5StQ7GRoygNLaXs2pd,12/27/2019,1/3/2020,Canada
48,Woah,Lil Baby,465333,https://open.spotify.com/track/598yNsG1JFrGd4n2kMoz7F,12/27/2019,1/3/2020,Canada
49,Robbery,Juice WRLD,443620,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ,12/27/2019,1/3/2020,Canada
50,South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,439195,https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk,12/27/2019,1/3/2020,Canada
51,July,Noah Cyrus,434736,https://open.spotify.com/track/5a6pdCHlWS2ekOOQ70QnAr,12/27/2019,1/3/2020,Canada
52,Goodbyes (Feat. Young Thug),Post Malone,431254,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo,12/27/2019,1/3/2020,Canada
53,Trampoline,SHAED,426757,https://open.spotify.com/track/4HBvwhhYo7YiYXkUDrOHzS,12/27/2019,1/3/2020,Canada
54,Wow.,Post Malone,421263,https://open.spotify.com/track/7xQAfvXzm3AkraOtGPWIZg,12/27/2019,1/3/2020,Canada
55,Yellow Hearts,Ant Saunders,420706,https://open.spotify.com/track/2W4yABdLc4Jnds67Poi5Nl,12/27/2019,1/3/2020,Canada
56,VIBEZ,DaBaby,416251,https://open.spotify.com/track/0fySG6A6qLE8IvDpayb5bM,12/27/2019,1/3/2020,Canada
57,Stuck In A Dream (feat. Gunna),Lil Mosey,411394,https://open.spotify.com/track/7iHHxY2NLlJRAmlAmC4ahQ,12/27/2019,1/3/2020,Canada
58,VALENTINO,24kGoldn,388910,https://open.spotify.com/track/6piAUJJQFD8oHDUr0b7l7q,12/27/2019,1/3/2020,Canada
59,Suge,DaBaby,384661,https://open.spotify.com/track/2gwkD6igEhQbDQegRCcdoB,12/27/2019,1/3/2020,Canada
60,223's (feat. 9lokknine),YNW Melly,381763,https://open.spotify.com/track/29ZXwWOOLz9t5fa3eT3i7T,12/27/2019,1/3/2020,Canada
61,Take What You Want (feat. Ozzy Osbourne & Travis Scott),Post Malone,377342,https://open.spotify.com/track/7CZyCXKG6d5ALeq41sLzbw,12/27/2019,1/3/2020,Canada
62,7 rings,Ariana Grande,375278,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF,12/27/2019,1/3/2020,Canada
63,How Do You Sleep?,Sam Smith,373195,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y,12/27/2019,1/3/2020,Canada
64,Shallow,Lady Gaga,372559,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,12/27/2019,1/3/2020,Canada
65,It's You,Ali Gatie,367445,https://open.spotify.com/track/5DqdesEfbRyOlSS3Tf6c29,12/27/2019,1/3/2020,Canada
66,Happier,Marshmello,365179,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,12/27/2019,1/3/2020,Canada
67,SICKO MODE,Travis Scott,362326,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,12/27/2019,1/3/2020,Canada
68,LOYAL (feat. Drake),PARTYNEXTDOOR,362138,https://open.spotify.com/track/5bvnqVuq7UFl0txSlHpsfS,12/27/2019,1/3/2020,Canada
69,Hate Me (with Juice WRLD),Ellie Goulding,359992,https://open.spotify.com/track/6kls8cSlUyHW2BUOkDJIZE,12/27/2019,1/3/2020,Canada
70,when the party's over,Billie Eilish,357951,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I,12/27/2019,1/3/2020,Canada
71,Falling,Harry Styles,355118,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp,12/27/2019,1/3/2020,Canada
72,Sucker,Jonas Brothers,354296,https://open.spotify.com/track/22vgEDb5hykfaTwLuskFGD,12/27/2019,1/3/2020,Canada
73,Pop Out (feat. Lil Tjay),Polo G,347602,https://open.spotify.com/track/6uFn47ACjqYkc0jADwEdj1,12/27/2019,1/3/2020,Canada
74,Going Bad (feat. Drake),Meek Mill,342756,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc,12/27/2019,1/3/2020,Canada
75,MIDDLE CHILD,J. Cole,342035,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8,12/27/2019,1/3/2020,Canada
76,Hot (Remix) [feat. Gunna and Travis Scott],Young Thug,341230,https://open.spotify.com/track/4ea9w8c4ROqiZpJVhfBA3m,12/27/2019,1/3/2020,Canada
77,Camelot,NLE Choppa,337448,https://open.spotify.com/track/4sWuPniHClkInYAnzXAYUF,12/27/2019,1/3/2020,Canada
