,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,,,,
Position,Track Name,Artist,Streams,URL,Week Beginning,Week Ending,Country
1,Tusa,KAROL G,2960654,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY,12/27/2019,1/3/2020,Chile
2,Sigues Con El,Dímelo Flow,1996358,https://open.spotify.com/track/7sQKy5vlPQllr0k9IjYJv3,12/27/2019,1/3/2020,Chile
3,Hola - Remix,Dalex,1953152,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt,12/27/2019,1/3/2020,Chile
4,Vete,Bad Bunny,1768428,https://open.spotify.com/track/5DxXgozhkPLgrbKFY91w0c,12/27/2019,1/3/2020,Chile
5,Whine Up,Nicky Jam,1639302,https://open.spotify.com/track/2pWOMNQJW3g2zmGjP0Vkb0,12/27/2019,1/3/2020,Chile
6,Fantasias,Rauw Alejandro,1545865,https://open.spotify.com/track/6mAN61JH0dzyZpWslS11jy,12/27/2019,1/3/2020,Chile
7,Aventura,Lunay,1446369,https://open.spotify.com/track/37zdqI4r1gswIzczSBkRon,12/27/2019,1/3/2020,Chile
8,RITMO (Bad Boys For Life),Black Eyed Peas,1388784,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf,12/27/2019,1/3/2020,Chile
9,China,Anuel AA,1288557,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK,12/27/2019,1/3/2020,Chile
10,Adicto (with Anuel AA & Ozuna),Tainy,1284377,https://open.spotify.com/track/3jbT1Y5MoPwEIpZndDDwVq,12/27/2019,1/3/2020,Chile
11,Dance Monkey,Tones And I,1230662,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,12/27/2019,1/3/2020,Chile
12,Bellaquita - Remix,Dalex,1188651,https://open.spotify.com/track/1Xnn1TPyr5h0hpRAT4B4EA,12/27/2019,1/3/2020,Chile
13,Que Tire Pa Lante,Daddy Yankee,1134852,https://open.spotify.com/track/6RyaV7owmVU6fzEPE17sF1,12/27/2019,1/3/2020,Chile
14,No Me Conoce - Remix,Jhay Cortez,1116503,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P,12/27/2019,1/3/2020,Chile
15,Quizas,Rich Music LTD,1092943,https://open.spotify.com/track/5Id5B3dxJZhPcV9GzgYZZe,12/27/2019,1/3/2020,Chile
16,LA CANCIÓN,J Balvin,996464,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18,12/27/2019,1/3/2020,Chile
17,Callaita,Bad Bunny,965632,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI,12/27/2019,1/3/2020,Chile
18,Si Te Vas,Sech,869154,https://open.spotify.com/track/6Y4PDQv4XjYjHLeLmvyOt0,12/27/2019,1/3/2020,Chile
19,105 F Remix,KEVVO,860916,https://open.spotify.com/track/1aUGxXCz9QimNkKeiJtzZ7,12/27/2019,1/3/2020,Chile
20,"El Favor (with Nicky Jam & Sech, feat. Farruko, Zion & Lunay)",Dímelo Flow,794517,https://open.spotify.com/track/684EjRHwNsZQ9hCQxL4NYL,12/27/2019,1/3/2020,Chile
21,Soltera - Remix,Lunay,778634,https://open.spotify.com/track/4t9a07PAghtQMRAIP9FQ7Z,12/27/2019,1/3/2020,Chile
22,Si Se Da - Remix,Myke Towers,760494,https://open.spotify.com/track/6K5BsR04ijf3FHNzjbaagD,12/27/2019,1/3/2020,Chile
23,Coronao Now,El Alfa,724011,https://open.spotify.com/track/7FbKipScVxkjQxQXwTd0gL,12/27/2019,1/3/2020,Chile
24,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix",Justin Quiles,720236,https://open.spotify.com/track/1ndyl3wJCFs872XZ3ztPk6,12/27/2019,1/3/2020,Chile
25,Tutu,Camilo,715135,https://open.spotify.com/track/1nocRtwyNPVtGcIJqfgdzZ,12/27/2019,1/3/2020,Chile
26,B11 (feat. Myke Towers),Rvssian,715038,https://open.spotify.com/track/4o1DxRjMCHDwBiOKv88rOl,12/27/2019,1/3/2020,Chile
27,Cuerpo en Venta,Noriel,710742,https://open.spotify.com/track/2B94bbI1a4LyBpK1439oP7,12/27/2019,1/3/2020,Chile
28,Piropo,Noriel,710205,https://open.spotify.com/track/5YrjfKuFd0pMmYTGeRDV6X,12/27/2019,1/3/2020,Chile
29,Perreo en La Luna,Rich Music LTD,705043,https://open.spotify.com/track/0RDgqtvOHLwcI6yz9bjsZV,12/27/2019,1/3/2020,Chile
30,Otro Trago - Remix,Sech,700556,https://open.spotify.com/track/4bTZeO72FwMa6wKOiqoynL,12/27/2019,1/3/2020,Chile
31,Fantasía,Ozuna,673004,https://open.spotify.com/track/40rXWke6SnXiGkSmaT8ZUr,12/27/2019,1/3/2020,Chile
