Position,Track Name,Artist,Streams,URL,Week Beginning,Week Ending,Country
1,Dance Monkey,Tones And I,1717004,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,12/27/2019,1/3/2020,Australia
2,ROXANNE,Arizona Zervas,1660844,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK,12/27/2019,1/3/2020,Australia
3,Circles,Post Malone,1510321,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,12/27/2019,1/3/2020,Australia
4,Don't Start Now,Dua Lipa,1471138,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg,12/27/2019,1/3/2020,Australia
5,Memories,Maroon 5,1234968,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM,12/27/2019,1/3/2020,Australia
6,Falling,Trevor Daniel,1204196,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa,12/27/2019,1/3/2020,Australia
7,Blinding Lights,The Weeknd,1161543,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD,12/27/2019,1/3/2020,Australia
8,Ride It,Regard,1148087,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ,12/27/2019,1/3/2020,Australia
9,Adore You,Harry Styles,1121704,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7,12/27/2019,1/3/2020,Australia
10,Never Seen the Rain,Tones And I,1050059,https://open.spotify.com/track/2grAr8pWMuLWn8ZYEE9wDV,12/27/2019,1/3/2020,Australia
11,everything i wanted,Billie Eilish,1025966,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ,12/27/2019,1/3/2020,Australia
12,Lose Control,MEDUZA,999596,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK,12/27/2019,1/3/2020,Australia
13,Before You Go,Lewis Capaldi,894148,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP,12/27/2019,1/3/2020,Australia
14,My Oh My (feat. DaBaby),Camila Cabello,877105,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K,12/27/2019,1/3/2020,Australia
15,hot girl bummer,blackbear,874765,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku,12/27/2019,1/3/2020,Australia
16,Watermelon Sugar,Harry Styles,870503,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY,12/27/2019,1/3/2020,Australia
17,Someone You Loved,Lewis Capaldi,838861,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,12/27/2019,1/3/2020,Australia
18,bad guy,Billie Eilish,814363,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,12/27/2019,1/3/2020,Australia
19,Señorita,Shawn Mendes,765122,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2,12/27/2019,1/3/2020,Australia
20,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,746230,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY,12/27/2019,1/3/2020,Australia
21,South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,733543,https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk,12/27/2019,1/3/2020,Australia
22,Lose You To Love Me,Selena Gomez,730691,https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5,12/27/2019,1/3/2020,Australia
23,"10,000 Hours (with Justin Bieber)",Dan + Shay,727024,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa,12/27/2019,1/3/2020,Australia
24,Trampoline,SHAED,686552,https://open.spotify.com/track/4HBvwhhYo7YiYXkUDrOHzS,12/27/2019,1/3/2020,Australia
25,Rushing Back,Flume,686549,https://open.spotify.com/track/2zoNNEAyPK2OGDfajardlY,12/27/2019,1/3/2020,Australia
26,Beautiful People (feat. Khalid),Ed Sheeran,675432,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv,12/27/2019,1/3/2020,Australia
27,Good as Hell (feat. Ariana Grande) - Remix,Lizzo,667458,https://open.spotify.com/track/07Oz5StQ7GRoygNLaXs2pd,12/27/2019,1/3/2020,Australia
28,Heartless,The Weeknd,642306,https://open.spotify.com/track/57vxBYXtHMk6H1aD29V7PU,12/27/2019,1/3/2020,Australia
29,Glitter,BENEE,632114,https://open.spotify.com/track/23TPP1eeElFfvYVznskwCY,12/27/2019,1/3/2020,Australia
30,One Thing Right,Marshmello,622825,https://open.spotify.com/track/4hPpVbbakQNv8YTHYaOJP4,12/27/2019,1/3/2020,Australia
31,I Don't Care (with Justin Bieber),Ed Sheeran,609018,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9,12/27/2019,1/3/2020,Australia
32,Piece Of Your Heart,MEDUZA,588446,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs,12/27/2019,1/3/2020,Australia
33,No Idea,Don Toliver,578569,https://open.spotify.com/track/3VyjsVV24RmBIbWJAeUJNu,12/27/2019,1/3/2020,Australia
34,Yellow Hearts,Ant Saunders,575857,https://open.spotify.com/track/2W4yABdLc4Jnds67Poi5Nl,12/27/2019,1/3/2020,Australia
35,Lucid Dreams,Juice WRLD,570058,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR,12/27/2019,1/3/2020,Australia
36,HIGHEST IN THE ROOM,Travis Scott,560700,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW,12/27/2019,1/3/2020,Australia
37,The Box,Roddy Ricch,554223,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I,12/27/2019,1/3/2020,Australia
38,Up All Night,Khalid,545951,https://open.spotify.com/track/1mpD5Q8IM32I4bF6eCpU74,12/27/2019,1/3/2020,Australia
39,Turn Me On (feat. Vula),Riton,540843,https://open.spotify.com/track/0qaWEvPkts34WF68r8Dzx9,12/27/2019,1/3/2020,Australia
40,Eastside (with Halsey & Khalid),benny blanco,540155,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU,12/27/2019,1/3/2020,Australia
41,Sorry,Joel Corry,532000,https://open.spotify.com/track/6y1UtRcHQU07aUs3oxZ8Yn,12/27/2019,1/3/2020,Australia
42,Graveyard,Halsey,521643,https://open.spotify.com/track/6V9fHiv84WlVTg7CSnIVY2,12/27/2019,1/3/2020,Australia
43,Old Town Road - Remix,Lil Nas X,512708,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG,12/27/2019,1/3/2020,Australia
44,How Do You Sleep?,Sam Smith,511319,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y,12/27/2019,1/3/2020,Australia
45,Own It (feat. Ed Sheeran & Burna Boy),Stormzy,497663,https://open.spotify.com/track/4QPEwDdOMhY7rNS05mTyMR,12/27/2019,1/3/2020,Australia
46,Post Malone (feat. RANI),Sam Feldt,492076,https://open.spotify.com/track/36orMWv2PgvnzXsd5CJ0yL,12/27/2019,1/3/2020,Australia
47,Falling,Harry Styles,491387,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp,12/27/2019,1/3/2020,Australia
48,Truth Hurts,Lizzo,486761,https://open.spotify.com/track/5qmq61DAAOUaW8AUo8xKhh,12/27/2019,1/3/2020,Australia
49,HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX,Travis Scott,472093,https://open.spotify.com/track/7h0d2h0fUmzbs7zeFigJPn,12/27/2019,1/3/2020,Australia
50,Castles,Freya Ridings,461851,https://open.spotify.com/track/5tZWtGT65sMrDVPB5H444n,12/27/2019,1/3/2020,Australia
51,Purple Hat,Sofi Tukker,448344,https://open.spotify.com/track/6WiGRFQfx2qw49MA7OeDYK,12/27/2019,1/3/2020,Australia
52,Catching Feelings (feat. SIX60),Drax Project,430796,https://open.spotify.com/track/0gCNs3jCCDhObAK0MRghtv,12/27/2019,1/3/2020,Australia
53,Bandit (with YoungBoy Never Broke Again),Juice WRLD,427179,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd,12/27/2019,1/3/2020,Australia
54,Sucker,Jonas Brothers,414339,https://open.spotify.com/track/22vgEDb5hykfaTwLuskFGD,12/27/2019,1/3/2020,Australia
55,Happier,Marshmello,412281,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,12/27/2019,1/3/2020,Australia
56,Youngblood,5 Seconds of Summer,407899,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE,12/27/2019,1/3/2020,Australia
57,Mean It,Lauv,402943,https://open.spotify.com/track/3GRSqlALWISqLeNncZMbpX,12/27/2019,1/3/2020,Australia
58,BOP,DaBaby,401567,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN,12/27/2019,1/3/2020,Australia
59,July,Noah Cyrus,400161,https://open.spotify.com/track/5a6pdCHlWS2ekOOQ70QnAr,12/27/2019,1/3/2020,Australia
60,7 rings,Ariana Grande,399703,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF,12/27/2019,1/3/2020,Australia
