Position,Track Name,Artist,Streams,URL,Week Beginning,Week Ending,Country
1,Roller,Apache 207,256618,https://open.spotify.com/track/6hw1Sy9wZ8UCxYGdpKrU6M,12/27/2019,1/3/2020,Austria
2,Dance Monkey,Tones And I,238544,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,12/27/2019,1/3/2020,Austria
3,Vor der Tür,Gzuz,170202,https://open.spotify.com/track/2LgsKzO8lCeXk0TMd9veWW,12/27/2019,1/3/2020,Austria
4,Falling,Trevor Daniel,149903,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa,12/27/2019,1/3/2020,Austria
5,Skifahren (feat. Joshi Mizu),The Cratez,137828,https://open.spotify.com/track/1E1YyZjbteIz2XQyLvtRxD,12/27/2019,1/3/2020,Austria
6,KEIN SCHLAF,Nimo,132488,https://open.spotify.com/track/1B89LtaW92jj4AqT7OZ0Fj,12/27/2019,1/3/2020,Austria
7,Nur zur Info,Ufo361,129914,https://open.spotify.com/track/6Y7ZEVr7lgO8FKGk2vZ2hi,12/27/2019,1/3/2020,Austria
8,ROXANNE,Arizona Zervas,125972,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK,12/27/2019,1/3/2020,Austria
9,110,Capital Bra,121106,https://open.spotify.com/track/67ojvEGRPAUCOohuMPqoRC,12/27/2019,1/3/2020,Austria
10,bad guy,Billie Eilish,116948,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,12/27/2019,1/3/2020,Austria
11,Don't Start Now,Dua Lipa,115305,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg,12/27/2019,1/3/2020,Austria
12,COLT,Samra,114218,https://open.spotify.com/track/76IVpz47q3ghkxoUeTTEKb,12/27/2019,1/3/2020,Austria
13,Ayy Macarena,Tyga,110831,https://open.spotify.com/track/6LcauUZjF1eXQrgqMUecHX,12/27/2019,1/3/2020,Austria
14,Der Bratan bleibt der gleiche,Capital Bra,108936,https://open.spotify.com/track/2M39v73rNJmAXUXIW0oagP,12/27/2019,1/3/2020,Austria
15,Ride It,Regard,108641,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ,12/27/2019,1/3/2020,Austria
16,Circles,Post Malone,107821,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,12/27/2019,1/3/2020,Austria
17,200 km/h,Apache 207,106760,https://open.spotify.com/track/2PGA1AsJal6cyMNmKyE56q,12/27/2019,1/3/2020,Austria
18,Memories,Maroon 5,104763,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM,12/27/2019,1/3/2020,Austria
19,Wieso tust Du dir das an?,Apache 207,100740,https://open.spotify.com/track/6dNB3XdAzx7kTf5wa8Rg89,12/27/2019,1/3/2020,Austria
20,everything i wanted,Billie Eilish,100508,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ,12/27/2019,1/3/2020,Austria
21,100%,Senidah,99122,https://open.spotify.com/track/58cWbqYLz06X69SqJiYeky,12/27/2019,1/3/2020,Austria
22,Blinding Lights,The Weeknd,98383,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD,12/27/2019,1/3/2020,Austria
23,Keine Liebe,RIN,97632,https://open.spotify.com/track/4OVF6uwZlMOSlZmHDnwliX,12/27/2019,1/3/2020,Austria
24,hot girl bummer,blackbear,92673,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku,12/27/2019,1/3/2020,Austria
25,Puta Madre - Bonustrack,RAF Camora,90854,https://open.spotify.com/track/0bg9us6qbMWTAMSF3y4egO,12/27/2019,1/3/2020,Austria
26,Mit Dir,Loredana,90330,https://open.spotify.com/track/26FNTVsgF4m31xvDgFfhGW,12/27/2019,1/3/2020,Austria
27,Tilidin,Capital Bra,86266,https://open.spotify.com/track/0Dlcu2fgHklOnajVu2dUNU,12/27/2019,1/3/2020,Austria
28,2002,Sido,85880,https://open.spotify.com/track/2u8AXJyk8pICzj2wyPBL0b,12/27/2019,1/3/2020,Austria
29,Someone You Loved,Lewis Capaldi,83992,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,12/27/2019,1/3/2020,Austria
30,500 PS,Bonez MC,83865,https://open.spotify.com/track/4UOXo3xWnxYdTf3sFyRaUG,12/27/2019,1/3/2020,Austria
31,Señorita,Shawn Mendes,83585,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2,12/27/2019,1/3/2020,Austria
32,Alien,RIN,82671,https://open.spotify.com/track/2RaKlveGCllSaXloN8kmzV,12/27/2019,1/3/2020,Austria
33,Honda Civic,The Cratez,82122,https://open.spotify.com/track/0WFgtxiLNr99YaoSdYR3Ud,12/27/2019,1/3/2020,Austria
34,KARMA,Nimo,81704,https://open.spotify.com/track/3uTiW4Tjt6FqSPRYNgzW5t,12/27/2019,1/3/2020,Austria
35,Roses - Imanbek Remix,SAINt JHN,77912,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI,12/27/2019,1/3/2020,Austria
36,Lose You To Love Me,Selena Gomez,75040,https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5,12/27/2019,1/3/2020,Austria
37,My Oh My (feat. DaBaby),Camila Cabello,72853,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K,12/27/2019,1/3/2020,Austria
38,Wieder Lila,Samra,72466,https://open.spotify.com/track/2kkcJ8tSDV42LdWcPjy6We,12/27/2019,1/3/2020,Austria
39,Adriana,RAF Camora,72120,https://open.spotify.com/track/5YbcMbH4xHRfep9rSxLRDt,12/27/2019,1/3/2020,Austria
40,Vermissen (feat. Henning May),Juju,70489,https://open.spotify.com/track/07f2b3CTdgKKlhv0mqUksz,12/27/2019,1/3/2020,Austria
41,Unnormal,RAF Camora,69211,https://open.spotify.com/track/7CzSP7spDpZBP8edbtPIwI,12/27/2019,1/3/2020,Austria
42,HIGHEST IN THE ROOM,Travis Scott,68222,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW,12/27/2019,1/3/2020,Austria
43,Doch in der Nacht,Apache 207,67453,https://open.spotify.com/track/3uhTOxvu2h2YEm0uPNF2vi,12/27/2019,1/3/2020,Austria
44,Stars,VIZE,67374,https://open.spotify.com/track/0TId5TSbdcBP32haUV4Aet,12/27/2019,1/3/2020,Austria
45,Lucid Dreams,Juice WRLD,66925,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR,12/27/2019,1/3/2020,Austria
46,Beautiful People (feat. Khalid),Ed Sheeran,66829,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv,12/27/2019,1/3/2020,Austria
47,HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX,Travis Scott,64678,https://open.spotify.com/track/7h0d2h0fUmzbs7zeFigJPn,12/27/2019,1/3/2020,Austria
48,Eiskalt,Loredana,62027,https://open.spotify.com/track/5sMugAU31Ug5SAUUbhBIKU,12/27/2019,1/3/2020,Austria
49,Lose Control,MEDUZA,60699,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK,12/27/2019,1/3/2020,Austria
50,I Don't Care (with Justin Bieber),Ed Sheeran,60348,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9,12/27/2019,1/3/2020,Austria
51,CASINO ROYAL,Kianush,59697,https://open.spotify.com/track/3Dkfcd3DbXGVmM05KCRuFA,12/27/2019,1/3/2020,Austria
52,Piece Of Your Heart,MEDUZA,59479,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs,12/27/2019,1/3/2020,Austria
53,Huracan,Samra,58758,https://open.spotify.com/track/6AFIVhbJLR7YVvW9fLFMu1,12/27/2019,1/3/2020,Austria
54,Better,Lena,58632,https://open.spotify.com/track/3jCMdvc8bFOKChETbFV9Zc,12/27/2019,1/3/2020,Austria
55,Light,Jerome,56414,https://open.spotify.com/track/1lht8jb3c6rEiVaqX94enH,12/27/2019,1/3/2020,Austria
56,STAR,Nimo,56209,https://open.spotify.com/track/2B1hRfTwS9HtP1MxAma1nu,12/27/2019,1/3/2020,Austria
57,Mary,Bausa,55799,https://open.spotify.com/track/2Jij6ebp6ToNKOn5DWlGxV,12/27/2019,1/3/2020,Austria
