,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,,,,
Position,Track Name,Artist,Streams,URL,Week Beginning,Week Ending,Country
1,Tusa,KAROL G,240207,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY,12/27/2019,1/3/2020,Bolivia
2,Dance Monkey,Tones And I,136590,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,12/27/2019,1/3/2020,Bolivia
3,Fantasias,Rauw Alejandro,112102,https://open.spotify.com/track/6mAN61JH0dzyZpWslS11jy,12/27/2019,1/3/2020,Bolivia
4,Pa' Olvidarme De Ella,Piso 21,98646,https://open.spotify.com/track/1cVlW9WQiGlFdWUXFdFZGh,12/27/2019,1/3/2020,Bolivia
5,Vete,Bad Bunny,95168,https://open.spotify.com/track/5DxXgozhkPLgrbKFY91w0c,12/27/2019,1/3/2020,Bolivia
6,RITMO (Bad Boys For Life),Black Eyed Peas,93609,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf,12/27/2019,1/3/2020,Bolivia
7,LA CANCIÓN,J Balvin,88871,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18,12/27/2019,1/3/2020,Bolivia
8,China,Anuel AA,88145,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK,12/27/2019,1/3/2020,Bolivia
9,Sigues Con El,Dímelo Flow,83137,https://open.spotify.com/track/7sQKy5vlPQllr0k9IjYJv3,12/27/2019,1/3/2020,Bolivia
10,Hola - Remix,Dalex,77257,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt,12/27/2019,1/3/2020,Bolivia
11,No Me Conoce - Remix,Jhay Cortez,72106,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P,12/27/2019,1/3/2020,Bolivia
12,Whine Up,Nicky Jam,70177,https://open.spotify.com/track/2pWOMNQJW3g2zmGjP0Vkb0,12/27/2019,1/3/2020,Bolivia
13,Callaita,Bad Bunny,69083,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI,12/27/2019,1/3/2020,Bolivia
14,Si Te Vas,Sech,59209,https://open.spotify.com/track/6Y4PDQv4XjYjHLeLmvyOt0,12/27/2019,1/3/2020,Bolivia
15,Tutu,Camilo,58463,https://open.spotify.com/track/1nocRtwyNPVtGcIJqfgdzZ,12/27/2019,1/3/2020,Bolivia
16,Adicto (with Anuel AA & Ozuna),Tainy,58434,https://open.spotify.com/track/3jbT1Y5MoPwEIpZndDDwVq,12/27/2019,1/3/2020,Bolivia
17,Que Tire Pa Lante,Daddy Yankee,58201,https://open.spotify.com/track/6RyaV7owmVU6fzEPE17sF1,12/27/2019,1/3/2020,Bolivia
18,Bellaquita - Remix,Dalex,57585,https://open.spotify.com/track/1Xnn1TPyr5h0hpRAT4B4EA,12/27/2019,1/3/2020,Bolivia
