,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,,,,
Position,Track Name,Artist,Streams,URL,Week Beginning,Week Ending,Country
1,Tusa,KAROL G,726012,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY,12/27/2019,1/3/2020,Columbia
2,Fantasias,Rauw Alejandro,478897,https://open.spotify.com/track/6mAN61JH0dzyZpWslS11jy,12/27/2019,1/3/2020,Columbia
3,Sigues Con El,Dímelo Flow,429426,https://open.spotify.com/track/7sQKy5vlPQllr0k9IjYJv3,12/27/2019,1/3/2020,Columbia
4,RITMO (Bad Boys For Life),Black Eyed Peas,426572,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf,12/27/2019,1/3/2020,Columbia
5,Blanco,J Balvin,387502,https://open.spotify.com/track/2rc7BkzO8qepMFAxHtOrXc,12/27/2019,1/3/2020,Columbia
6,Dance Monkey,Tones And I,386524,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,12/27/2019,1/3/2020,Columbia
7,LA CANCIÓN,J Balvin,384479,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18,12/27/2019,1/3/2020,Columbia
8,China,Anuel AA,370323,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK,12/27/2019,1/3/2020,Columbia
9,Vete,Bad Bunny,363068,https://open.spotify.com/track/5DxXgozhkPLgrbKFY91w0c,12/27/2019,1/3/2020,Columbia
10,Hola - Remix,Dalex,350942,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt,12/27/2019,1/3/2020,Columbia
11,Loco,Beéle,321476,https://open.spotify.com/track/2J9B63FawlTaPdg4eH5X03,12/27/2019,1/3/2020,Columbia
12,Adicto (with Anuel AA & Ozuna),Tainy,311259,https://open.spotify.com/track/3jbT1Y5MoPwEIpZndDDwVq,12/27/2019,1/3/2020,Columbia
13,Callaita,Bad Bunny,309907,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI,12/27/2019,1/3/2020,Columbia
14,No Me Conoce - Remix,Jhay Cortez,307537,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P,12/27/2019,1/3/2020,Columbia
15,Quizas,Rich Music LTD,304395,https://open.spotify.com/track/5Id5B3dxJZhPcV9GzgYZZe,12/27/2019,1/3/2020,Columbia
16,Alguien Me Gusta,Andy Rivera,272420,https://open.spotify.com/track/4iFTIshL0xDCw8JJUl5AJ3,12/27/2019,1/3/2020,Columbia
17,Indeciso,Reik,263536,https://open.spotify.com/track/59s0s39NFWScuHDbHytI14,12/27/2019,1/3/2020,Columbia
18,Whine Up,Nicky Jam,259552,https://open.spotify.com/track/2pWOMNQJW3g2zmGjP0Vkb0,12/27/2019,1/3/2020,Columbia
19,Si Te Vas,Sech,255106,https://open.spotify.com/track/6Y4PDQv4XjYjHLeLmvyOt0,12/27/2019,1/3/2020,Columbia
20,QUE PRETENDES,J Balvin,254752,https://open.spotify.com/track/25ZAibhr3bdlMCLmubZDVt,12/27/2019,1/3/2020,Columbia
21,Tutu,Camilo,248775,https://open.spotify.com/track/1nocRtwyNPVtGcIJqfgdzZ,12/27/2019,1/3/2020,Columbia
22,Que Tire Pa Lante,Daddy Yankee,222982,https://open.spotify.com/track/6RyaV7owmVU6fzEPE17sF1,12/27/2019,1/3/2020,Columbia
23,Señorita,Shawn Mendes,217472,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2,12/27/2019,1/3/2020,Columbia
24,Qué Pena,Maluma,217131,https://open.spotify.com/track/5099x34vBakWpGkHourFxP,12/27/2019,1/3/2020,Columbia
25,Aventura,Lunay,211943,https://open.spotify.com/track/37zdqI4r1gswIzczSBkRon,12/27/2019,1/3/2020,Columbia
26,Pa' Olvidarme De Ella,Piso 21,209869,https://open.spotify.com/track/1cVlW9WQiGlFdWUXFdFZGh,12/27/2019,1/3/2020,Columbia
27,Bellaquita - Remix,Dalex,205508,https://open.spotify.com/track/1Xnn1TPyr5h0hpRAT4B4EA,12/27/2019,1/3/2020,Columbia
28,11:00 PM,Maluma,201030,https://open.spotify.com/track/7KbF6AdprOXEEHlsq11Z6d,12/27/2019,1/3/2020,Columbia
29,Soltera - Remix,Lunay,200267,https://open.spotify.com/track/4t9a07PAghtQMRAIP9FQ7Z,12/27/2019,1/3/2020,Columbia
