,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,,,,
Position,Track Name,Artist,Streams,URL,Week Beginning,Week Ending,Country
1,Tusa,KAROL G,402481,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY,12/27/2019,1/3/2020,Costa Rica
2,Fantasias,Rauw Alejandro,212893,https://open.spotify.com/track/6mAN61JH0dzyZpWslS11jy,12/27/2019,1/3/2020,Costa Rica
3,Dance Monkey,Tones And I,205779,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,12/27/2019,1/3/2020,Costa Rica
4,RITMO (Bad Boys For Life),Black Eyed Peas,179838,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf,12/27/2019,1/3/2020,Costa Rica
5,China,Anuel AA,167872,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK,12/27/2019,1/3/2020,Costa Rica
6,Vete,Bad Bunny,156390,https://open.spotify.com/track/5DxXgozhkPLgrbKFY91w0c,12/27/2019,1/3/2020,Costa Rica
7,Que Tire Pa Lante,Daddy Yankee,153038,https://open.spotify.com/track/6RyaV7owmVU6fzEPE17sF1,12/27/2019,1/3/2020,Costa Rica
8,LA CANCIÓN,J Balvin,146846,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18,12/27/2019,1/3/2020,Costa Rica
9,Pa' Olvidarme De Ella,Piso 21,136395,https://open.spotify.com/track/1cVlW9WQiGlFdWUXFdFZGh,12/27/2019,1/3/2020,Costa Rica
10,No Me Conoce - Remix,Jhay Cortez,130743,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P,12/27/2019,1/3/2020,Costa Rica
11,Callaita,Bad Bunny,130359,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI,12/27/2019,1/3/2020,Costa Rica
12,Si Te Vas,Sech,127133,https://open.spotify.com/track/6Y4PDQv4XjYjHLeLmvyOt0,12/27/2019,1/3/2020,Costa Rica
13,Whine Up,Nicky Jam,125987,https://open.spotify.com/track/2pWOMNQJW3g2zmGjP0Vkb0,12/27/2019,1/3/2020,Costa Rica
14,Bellaquita,Dalex,115296,https://open.spotify.com/track/1tpbAGsGpZee5jDHMcLrUJ,12/27/2019,1/3/2020,Costa Rica
15,Adicto (with Anuel AA & Ozuna),Tainy,110626,https://open.spotify.com/track/3jbT1Y5MoPwEIpZndDDwVq,12/27/2019,1/3/2020,Costa Rica
16,Hola - Remix,Dalex,100923,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt,12/27/2019,1/3/2020,Costa Rica
17,Quizas,Rich Music LTD,100045,https://open.spotify.com/track/5Id5B3dxJZhPcV9GzgYZZe,12/27/2019,1/3/2020,Costa Rica
18,Sigues Con El,Dímelo Flow,98710,https://open.spotify.com/track/7sQKy5vlPQllr0k9IjYJv3,12/27/2019,1/3/2020,Costa Rica
19,Tutu,Camilo,97911,https://open.spotify.com/track/1nocRtwyNPVtGcIJqfgdzZ,12/27/2019,1/3/2020,Costa Rica
20,Loco,Beéle,95413,https://open.spotify.com/track/2J9B63FawlTaPdg4eH5X03,12/27/2019,1/3/2020,Costa Rica
21,Soltera - Remix,Lunay,93001,https://open.spotify.com/track/4t9a07PAghtQMRAIP9FQ7Z,12/27/2019,1/3/2020,Costa Rica
22,Indeciso,Reik,88504,https://open.spotify.com/track/59s0s39NFWScuHDbHytI14,12/27/2019,1/3/2020,Costa Rica
23,Blanco,J Balvin,87249,https://open.spotify.com/track/2rc7BkzO8qepMFAxHtOrXc,12/27/2019,1/3/2020,Costa Rica
24,Pa Mí - Remix,Dalex,85703,https://open.spotify.com/track/7g8YaUQABMal0zWe7a2ijz,12/27/2019,1/3/2020,Costa Rica
25,Cuaderno,Dalex,81808,https://open.spotify.com/track/7anSoGdgtmJTAPZBzcPhO6,12/27/2019,1/3/2020,Costa Rica
26,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix",Justin Quiles,79376,https://open.spotify.com/track/1ndyl3wJCFs872XZ3ztPk6,12/27/2019,1/3/2020,Costa Rica
27,Bellaquita - Remix,Dalex,79098,https://open.spotify.com/track/1Xnn1TPyr5h0hpRAT4B4EA,12/27/2019,1/3/2020,Costa Rica
28,"Yo x Ti, Tu x Mi",ROSALÍA,75920,https://open.spotify.com/track/7BlBVFwvbWvcwNcUarQmjk,12/27/2019,1/3/2020,Costa Rica
29,Otro Trago - Remix,Sech,75851,https://open.spotify.com/track/4bTZeO72FwMa6wKOiqoynL,12/27/2019,1/3/2020,Costa Rica
30,Con Altura,ROSALÍA,75792,https://open.spotify.com/track/2qG5sZ7Si6sdK74qLxedYM,12/27/2019,1/3/2020,Costa Rica
31,11:00 PM,Maluma,74532,https://open.spotify.com/track/7KbF6AdprOXEEHlsq11Z6d,12/27/2019,1/3/2020,Costa Rica
32,QUE PRETENDES,J Balvin,73927,https://open.spotify.com/track/25ZAibhr3bdlMCLmubZDVt,12/27/2019,1/3/2020,Costa Rica
33,No Te Contaron Mal,Christian Nodal,73442,https://open.spotify.com/track/7hbk4BaF66O09R1gq0bKwj,12/27/2019,1/3/2020,Costa Rica
34,Aventura,Lunay,72623,https://open.spotify.com/track/37zdqI4r1gswIzczSBkRon,12/27/2019,1/3/2020,Costa Rica
35,Señorita,Shawn Mendes,71819,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2,12/27/2019,1/3/2020,Costa Rica
36,Otro Trago,Sech,71219,https://open.spotify.com/track/1Ej96GIBCTvgH7tNX1r3qr,12/27/2019,1/3/2020,Costa Rica
37,De Los Besos Que Te Di,Christian Nodal,71100,https://open.spotify.com/track/1qfoq1qvZT7VwDVeekCJ97,12/27/2019,1/3/2020,Costa Rica
38,Te Vi,Piso 21,70109,https://open.spotify.com/track/059bcIhyc2SBwm6sw2AZzd,12/27/2019,1/3/2020,Costa Rica
