,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,,,,
Position,Track Name,Artist,Streams,URL,Week Beginning,Week Ending,Country
1,PUB G (feat. Branco & Larry 44),LOLO,611859,https://open.spotify.com/track/0alp0O9d7KTtAF1QnBqqiv,12/27/2019,1/3/2020,Denmark
2,Fuck Af (feat. Milbo),Fie Laursen,519938,https://open.spotify.com/track/7iXrDMiAinSZpD1M6zyBKY,12/27/2019,1/3/2020,Denmark
3,Kærlighed (feat. Gilli & Kesi),ATYPISK,475940,https://open.spotify.com/track/2xeiAqqHWYXQMWk6s2aQdw,12/27/2019,1/3/2020,Denmark
4,Dance Monkey,Tones And I,457874,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,12/27/2019,1/3/2020,Denmark
5,Roses - Imanbek Remix,SAINt JHN,449404,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI,12/27/2019,1/3/2020,Denmark
6,Sjakalina,Tessa,419823,https://open.spotify.com/track/3LdRxPZLIouyXVFrJVLwg8,12/27/2019,1/3/2020,Denmark
7,Blinding Lights,The Weeknd,384097,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD,12/27/2019,1/3/2020,Denmark
8,Ben,Tessa,358977,https://open.spotify.com/track/2He7ZIvNyBo188a6hvS0zT,12/27/2019,1/3/2020,Denmark
9,London Town,Branco,355699,https://open.spotify.com/track/5TKuvTO4jj4trnmMnqEpoJ,12/27/2019,1/3/2020,Denmark
10,ROXANNE,Arizona Zervas,353102,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK,12/27/2019,1/3/2020,Denmark
11,VERDEN VENDER,Branco,336336,https://open.spotify.com/track/0qgqH6VqlkIXj45e5tTFCH,12/27/2019,1/3/2020,Denmark
12,Don't Start Now,Dua Lipa,308996,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg,12/27/2019,1/3/2020,Denmark
13,Flytilstand,Benny Jamz,306935,https://open.spotify.com/track/6q90mFphEXrrBfIXAbDLY3,12/27/2019,1/3/2020,Denmark
14,everything i wanted,Billie Eilish,301217,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ,12/27/2019,1/3/2020,Denmark
15,Ride It,Regard,285333,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ,12/27/2019,1/3/2020,Denmark
16,Own It (feat. Ed Sheeran & Burna Boy),Stormzy,281699,https://open.spotify.com/track/4QPEwDdOMhY7rNS05mTyMR,12/27/2019,1/3/2020,Denmark
17,Ayy Macarena,Tyga,277409,https://open.spotify.com/track/6LcauUZjF1eXQrgqMUecHX,12/27/2019,1/3/2020,Denmark
18,Super Mario,NODE,276966,https://open.spotify.com/track/1LsZymF4MDfVMuzLkySq5P,12/27/2019,1/3/2020,Denmark
19,Circles,Post Malone,276582,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,12/27/2019,1/3/2020,Denmark
20,Lærte Hende Alt (feat. Lærke Emilie),ATYPISK,260721,https://open.spotify.com/track/6aq0IJ1Ftp7PoJfPum2oMM,12/27/2019,1/3/2020,Denmark
21,Falling,Trevor Daniel,259715,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa,12/27/2019,1/3/2020,Denmark
22,Vai Amor,Gilli,257301,https://open.spotify.com/track/7nPTjuVySLIUlgKrzTIFdb,12/27/2019,1/3/2020,Denmark
23,bad guy,Billie Eilish,240328,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,12/27/2019,1/3/2020,Denmark
24,Someone You Loved,Lewis Capaldi,239423,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,12/27/2019,1/3/2020,Denmark
25,Balou,Benny Jamz,229845,https://open.spotify.com/track/4r2M86IJ1stGAI55PRRib0,12/27/2019,1/3/2020,Denmark
26,Brandvarm,Josef Og Elias,229688,https://open.spotify.com/track/5B6QJikgE2fsGpR1BBkapc,12/27/2019,1/3/2020,Denmark
27,Memories,Maroon 5,227724,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM,12/27/2019,1/3/2020,Denmark
28,Lie,Lukas Graham,210290,https://open.spotify.com/track/27NaNvlmvOHqTF0VPjuRSD,12/27/2019,1/3/2020,Denmark
29,Señorita,Shawn Mendes,201379,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2,12/27/2019,1/3/2020,Denmark
30,Sektion (feat. Branco & Gilli),Benny Jamz,200174,https://open.spotify.com/track/4vdIHpg2MlGO6WnHZE6oeW,12/27/2019,1/3/2020,Denmark
31,Adore You,Harry Styles,199277,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7,12/27/2019,1/3/2020,Denmark
32,Gonzo,Suspekt,188122,https://open.spotify.com/track/6bh20cEbXMNJ5JPUvbGSYq,12/27/2019,1/3/2020,Denmark
33,My Oh My (feat. DaBaby),Camila Cabello,182551,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K,12/27/2019,1/3/2020,Denmark
34,Unz Unz,Specktors,181707,https://open.spotify.com/track/2vjKei86vFPZBodhXEqEmX,12/27/2019,1/3/2020,Denmark
35,En Sang (feat. Gucci Mane),Emil Stabil,180549,https://open.spotify.com/track/1hwYGaUz6V4odyt0u0QlKf,12/27/2019,1/3/2020,Denmark
36,hot girl bummer,blackbear,176826,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku,12/27/2019,1/3/2020,Denmark
37,Beautiful People (feat. Khalid),Ed Sheeran,172300,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv,12/27/2019,1/3/2020,Denmark
38,Watermelon Sugar,Harry Styles,169955,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY,12/27/2019,1/3/2020,Denmark
39,BDK (feat. Gilli),KESI,164250,https://open.spotify.com/track/6ZvA8Difc7oFBxfZXJ6JuT,12/27/2019,1/3/2020,Denmark
40,Holdet (feat. NODE),Jamaika,160316,https://open.spotify.com/track/53Z8vzEI2bbqpsSZ8dFSOt,12/27/2019,1/3/2020,Denmark
41,Lose Control,MEDUZA,155955,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK,12/27/2019,1/3/2020,Denmark
42,Sinaloa Stil,Shooter Gang,153305,https://open.spotify.com/track/1tNuRv1Wcagp2f3FVcgknp,12/27/2019,1/3/2020,Denmark
43,HIGHEST IN THE ROOM,Travis Scott,152943,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW,12/27/2019,1/3/2020,Denmark
44,Before You Go,Lewis Capaldi,152352,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP,12/27/2019,1/3/2020,Denmark
