Position,Track Name,Artist,Streams,URL,Week Beginning,Week Ending,Country
1,Psycho,Red Velvet,122647,https://open.spotify.com/track/3CYH422oy1cZNoo0GTG1TK,12/27/2019,1/3/2020,Hong Kong
2,Señorita,Shawn Mendes,113316,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2,12/27/2019,1/3/2020,Hong Kong
3,Memories,Maroon 5,103584,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM,12/27/2019,1/3/2020,Hong Kong
4,Dance Monkey,Tones And I,90995,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,12/27/2019,1/3/2020,Hong Kong
5,ROXANNE,Arizona Zervas,88064,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK,12/27/2019,1/3/2020,Hong Kong
6,everything i wanted,Billie Eilish,84483,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ,12/27/2019,1/3/2020,Hong Kong
7,Circles,Post Malone,84254,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,12/27/2019,1/3/2020,Hong Kong
8,"讓愛高飛 - 劇集 ""多功能老婆"" 片尾曲",Pakho Chau,78480,https://open.spotify.com/track/7nIxo0dE9d4FBwPYhmdQae,12/27/2019,1/3/2020,Hong Kong
9,Don't Start Now,Dua Lipa,78316,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg,12/27/2019,1/3/2020,Hong Kong
10,說好不哭,Jay Chou,75126,https://open.spotify.com/track/56wVfJKtnwlSZtC4NVgIrf,12/27/2019,1/3/2020,Hong Kong
11,bad guy,Billie Eilish,73675,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,12/27/2019,1/3/2020,Hong Kong
12,Falling,Trevor Daniel,64688,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa,12/27/2019,1/3/2020,Hong Kong
13,Adore You,Harry Styles,60834,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7,12/27/2019,1/3/2020,Hong Kong
14,My Oh My (feat. DaBaby),Camila Cabello,60251,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K,12/27/2019,1/3/2020,Hong Kong
15,Into the Unknown,Idina Menzel,59808,https://open.spotify.com/track/3Z0oQ8r78OUaHvGPiDBR3W,12/27/2019,1/3/2020,Hong Kong
16,Someone You Loved,Lewis Capaldi,59075,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,12/27/2019,1/3/2020,Hong Kong
17,Blinding Lights,The Weeknd,58590,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD,12/27/2019,1/3/2020,Hong Kong
18,Beautiful People (feat. Khalid),Ed Sheeran,56166,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv,12/27/2019,1/3/2020,Hong Kong
19,Lose You To Love Me,Selena Gomez,56124,https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5,12/27/2019,1/3/2020,Hong Kong
20,Watermelon Sugar,Harry Styles,52673,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY,12/27/2019,1/3/2020,Hong Kong
21,我們都是這樣長大的,Sammi Cheng,50881,https://open.spotify.com/track/37gQxPrcu81gpr5SbOlIJO,12/27/2019,1/3/2020,Hong Kong
22,Mean It,Lauv,48960,https://open.spotify.com/track/3GRSqlALWISqLeNncZMbpX,12/27/2019,1/3/2020,Hong Kong
