Position,Track Name,Artist,Streams,URL,Week Beginning,Week Ending,Country
1,"Muqabla (From ""Street Dancer 3D"")",Yash Narvekar,1176243,https://open.spotify.com/track/28veUNu4veN0LOBVa0nFw8,12/27/2019,1/3/2020,India
2,"Ghungroo (From ""War"")",Arijit Singh,963898,https://open.spotify.com/track/0WdbnNKO0Jt4BZACSDQh44,12/27/2019,1/3/2020,India
3,Falling,Trevor Daniel,893191,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa,12/27/2019,1/3/2020,India
4,Yaad Piya Ki Aane Lagi,Neha Kakkar,880650,https://open.spotify.com/track/0TkquWzzuxcrwbCWlTrKYF,12/27/2019,1/3/2020,India
5,Makhna,Tanishk Bagchi,865019,https://open.spotify.com/track/0ZHILXmUaVSLEOCWxPQ1ga,12/27/2019,1/3/2020,India
6,Memories,Maroon 5,767788,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM,12/27/2019,1/3/2020,India
7,"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")",Arijit Singh,750712,https://open.spotify.com/track/2Fv2injs4qAm8mJBGaxVKU,12/27/2019,1/3/2020,India
8,"Garmi (From ""Street Dancer 3D"") (feat. Varun Dhawan)",Badshah,719526,https://open.spotify.com/track/6q9XTgfWilsnyiFofvYrIF,12/27/2019,1/3/2020,India
9,Señorita,Shawn Mendes,675117,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2,12/27/2019,1/3/2020,India
10,"Tum Hi Aana (From ""Marjaavaan"")",Payal Dev,653544,https://open.spotify.com/track/6E9UwSfT80age2xknoMS7Y,12/27/2019,1/3/2020,India
11,ROXANNE,Arizona Zervas,613112,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK,12/27/2019,1/3/2020,India
12,"O Saki Saki (From ""Batla House"")",Neha Kakkar,589365,https://open.spotify.com/track/5djZm1zFGcJUSUqbBjrAZH,12/27/2019,1/3/2020,India
13,"Shaitan Ka Saala (From ""Housefull 4"")",Sohail Sen,575229,https://open.spotify.com/track/7IAJzec1UxGYmNvbPTHbxx,12/27/2019,1/3/2020,India
14,Filhall,B Praak,530971,https://open.spotify.com/track/6E7P1uT2afeor2t6wR2y2r,12/27/2019,1/3/2020,India
15,Pal Pal Dil Ke Paas- Title Track,Arijit Singh,496657,https://open.spotify.com/track/7lGhrfren1Zpwh0ds0zuUg,12/27/2019,1/3/2020,India
16,"Dheeme Dheeme (From ""Pati Patni Aur Woh"")",Tony Kakkar,492808,https://open.spotify.com/track/7ofWUKeNCUw1P64ArIwG9b,12/27/2019,1/3/2020,India
17,Blinding Lights,The Weeknd,481173,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD,12/27/2019,1/3/2020,India
18,"Bekhayali (From ""Kabir Singh"")",Sachet Tandon,480804,https://open.spotify.com/track/1feANd8EfcDP5UqSvbheM3,12/27/2019,1/3/2020,India
19,Circles,Post Malone,472246,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,12/27/2019,1/3/2020,India
20,"Duniyaa (From ""Luka Chuppi"")",Akhil,469707,https://open.spotify.com/track/2tjWCe2W7sgvS3C8NHcdtI,12/27/2019,1/3/2020,India
21,Ve Maahi,Arijit Singh,467239,https://open.spotify.com/track/7ltu5scschhmNWp5rp8rVF,12/27/2019,1/3/2020,India
22,"Lamborghini (From ""Jai Mummy Di"")",Meet Bros.,443003,https://open.spotify.com/track/5xWpxI216rbOSiAqjdn6gy,12/27/2019,1/3/2020,India
23,"Mere Sohneya (From ""Kabir Singh"")",Sachet Tandon,441963,https://open.spotify.com/track/2IoZMG3RqiTmsy7Li3zGFg,12/27/2019,1/3/2020,India
24,"Tera Ban Jaunga (From ""Kabir Singh"")",Akhil Sachdeva,439707,https://open.spotify.com/track/4OcvkkpF3xmyCGGY5IBlgi,12/27/2019,1/3/2020,India
25,Chandigarh Mein,Badshah,433711,https://open.spotify.com/track/5RHCtCi4k67doox07JmHTf,12/27/2019,1/3/2020,India
26,"Tu Hi Yaar Mera (From ""Pati Patni Aur Woh"")",Rochak Kohli,419731,https://open.spotify.com/track/57jOEZtoLQK4zF2x55bdkp,12/27/2019,1/3/2020,India
27,"Pachtaoge (From ""Jaani Ve"")",Arijit Singh,407731,https://open.spotify.com/track/5QVHNa0ppJUOoqSd36ovQS,12/27/2019,1/3/2020,India
28,8 Parche,Baani Sandhu,402025,https://open.spotify.com/track/42ETKyApzUl8hTtytFAjen,12/27/2019,1/3/2020,India
29,Sauda Khara Khara,Diljit Dosanjh,385938,https://open.spotify.com/track/1v8H06ctqfMX8IUxU9nCaI,12/27/2019,1/3/2020,India
30,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,384329,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY,12/27/2019,1/3/2020,India
31,My Oh My (feat. DaBaby),Camila Cabello,383029,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K,12/27/2019,1/3/2020,India
32,"Kaise Hua (From ""Kabir Singh"")",Vishal Mishra,379306,https://open.spotify.com/track/1y1rQTkWmrZdJmjwuK07GC,12/27/2019,1/3/2020,India
