Position,Track Name,Artist,Streams,URL,Week Beginning,Week Ending,Country
1,Pretender,Official HIGE DANdism,1257547,https://open.spotify.com/track/58dxGXavrcagRqA58fNB0Z,12/27/2019,1/3/2020,Japan
2,白日,King Gnu,969506,https://open.spotify.com/track/0mNO3xUzjsI17GXO1DRFCH,12/27/2019,1/3/2020,Japan
3,宿命,Official HIGE DANdism,862232,https://open.spotify.com/track/2yozZfRYHP7Elsymghu5t3,12/27/2019,1/3/2020,Japan
4,まちがいさがし,Masaki Suda,719011,https://open.spotify.com/track/4Jj31lihp5Nvdi4lFRjrqc,12/27/2019,1/3/2020,Japan
5,イエスタデイ,Official HIGE DANdism,716439,https://open.spotify.com/track/3S3DDZrPOYTirleXRyHnNM,12/27/2019,1/3/2020,Japan
6,ノーダウト,Official HIGE DANdism,677189,https://open.spotify.com/track/5DMEvbg3gUmiR5HIBWdveV,12/27/2019,1/3/2020,Japan
7,マリーゴールド,Aimyon,608231,https://open.spotify.com/track/2cKiHG16JBiqHdi7Llq0r7,12/27/2019,1/3/2020,Japan
8,115万キロのフィルム,Official HIGE DANdism,572210,https://open.spotify.com/track/278JqkBGkjDovOYAwE8TW7,12/27/2019,1/3/2020,Japan
9,紅蓮華,LiSA,484079,https://open.spotify.com/track/23DbzwNJSLo7nkSWjODMvY,12/27/2019,1/3/2020,Japan
10,さよならエレジー,Masaki Suda,477445,https://open.spotify.com/track/0QKmcZNAST4GytJYmkN05D,12/27/2019,1/3/2020,Japan
11,高嶺の花子さん,back number,476638,https://open.spotify.com/track/2jdbZGFp8KVTuk0YxDNL4l,12/27/2019,1/3/2020,Japan
12,クリスマスソング,back number,450749,https://open.spotify.com/track/5P8ZvBQoCrujjNcLAxO3Su,12/27/2019,1/3/2020,Japan
13,Stand By You,Official HIGE DANdism,438554,https://open.spotify.com/track/7MhJmtlNl6R0oppdG59CaI,12/27/2019,1/3/2020,Japan
14,Teenager Forever,King Gnu,436957,https://open.spotify.com/track/0IrfTmWz97ZoKbBICyslv9,12/27/2019,1/3/2020,Japan
15,君はロックを聴かない,Aimyon,429586,https://open.spotify.com/track/59eluCMn0XbOWqeWQ91FTM,12/27/2019,1/3/2020,Japan
