Position,Track Name,Artist,Streams,URL,Week Beginning,Week Ending,Country
1,Tusa,KAROL G,8898475,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY,12/27/2019,1/3/2020,Mexico
2,Dance Monkey,Tones And I,4933489,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,12/27/2019,1/3/2020,Mexico
3,Vete,Bad Bunny,3523501,https://open.spotify.com/track/5DxXgozhkPLgrbKFY91w0c,12/27/2019,1/3/2020,Mexico
4,RITMO (Bad Boys For Life),Black Eyed Peas,3516029,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf,12/27/2019,1/3/2020,Mexico
5,LA CANCIÓN,J Balvin,3259937,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18,12/27/2019,1/3/2020,Mexico
6,Pa' Olvidarme De Ella,Piso 21,3003629,https://open.spotify.com/track/1cVlW9WQiGlFdWUXFdFZGh,12/27/2019,1/3/2020,Mexico
7,Fantasias,Rauw Alejandro,2923764,https://open.spotify.com/track/6mAN61JH0dzyZpWslS11jy,12/27/2019,1/3/2020,Mexico
8,China,Anuel AA,2751377,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK,12/27/2019,1/3/2020,Mexico
9,Callaita,Bad Bunny,2683206,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI,12/27/2019,1/3/2020,Mexico
10,No Me Conoce - Remix,Jhay Cortez,2632021,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P,12/27/2019,1/3/2020,Mexico
11,Que Tire Pa Lante,Daddy Yankee,2293174,https://open.spotify.com/track/6RyaV7owmVU6fzEPE17sF1,12/27/2019,1/3/2020,Mexico
12,Oye Pablo,Danna Paola,2054871,https://open.spotify.com/track/4wJFExEZZo62tmwTM9ENDR,12/27/2019,1/3/2020,Mexico
13,Sigues Con El,Dímelo Flow,1989212,https://open.spotify.com/track/7sQKy5vlPQllr0k9IjYJv3,12/27/2019,1/3/2020,Mexico
14,Amor A Primera Vista,Los Ángeles Azules,1916861,https://open.spotify.com/track/1E7RHPXA9sZ30qfms18J7J,12/27/2019,1/3/2020,Mexico
15,Don't Start Now,Dua Lipa,1881848,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg,12/27/2019,1/3/2020,Mexico
16,Indeciso,Reik,1836918,https://open.spotify.com/track/59s0s39NFWScuHDbHytI14,12/27/2019,1/3/2020,Mexico
17,Tutu,Camilo,1827397,https://open.spotify.com/track/1nocRtwyNPVtGcIJqfgdzZ,12/27/2019,1/3/2020,Mexico
18,Señorita,Shawn Mendes,1781364,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2,12/27/2019,1/3/2020,Mexico
