Position,Track Name,Artist,Streams,URL,Week Beginning,Week Ending,Country
1,Blinding Lights,The Weeknd,797695,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD,12/27/2019,1/3/2020,Norway
2,Jævlig,TIX,722724,https://open.spotify.com/track/2Pckb69I4iMmL24jZ2KO4D,12/27/2019,1/3/2020,Norway
3,Dance Monkey,Tones And I,654497,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,12/27/2019,1/3/2020,Norway
4,everything i wanted,Billie Eilish,485086,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ,12/27/2019,1/3/2020,Norway
5,Falling,Trevor Daniel,478154,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa,12/27/2019,1/3/2020,Norway
6,"Alone, Pt. II",Alan Walker,474658,https://open.spotify.com/track/0bMbDctzMmTyK2j74j3nF3,12/27/2019,1/3/2020,Norway
7,ROXANNE,Arizona Zervas,466030,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK,12/27/2019,1/3/2020,Norway
8,Someone You Loved,Lewis Capaldi,424126,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,12/27/2019,1/3/2020,Norway
9,Memories,Maroon 5,409915,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM,12/27/2019,1/3/2020,Norway
10,Don't Start Now,Dua Lipa,395475,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg,12/27/2019,1/3/2020,Norway
11,DANCE,CLMD,386062,https://open.spotify.com/track/6TfeXwJihJRuBW3mFpib6J,12/27/2019,1/3/2020,Norway
12,Years,Astrid S,334887,https://open.spotify.com/track/5WEAZtjEufELtaxqYcqCJg,12/27/2019,1/3/2020,Norway
13,Roses - Imanbek Remix,SAINt JHN,327809,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI,12/27/2019,1/3/2020,Norway
14,Circles,Post Malone,322893,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,12/27/2019,1/3/2020,Norway
