Position,Track Name,Artist,Streams,URL,Week Beginning,Week Ending,Country
1,Dance Monkey,Tones And I,387914,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,12/27/2019,1/3/2020,Switzerland
2,Roller,Apache 207,208579,https://open.spotify.com/track/6hw1Sy9wZ8UCxYGdpKrU6M,12/27/2019,1/3/2020,Switzerland
3,ROXANNE,Arizona Zervas,186444,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK,12/27/2019,1/3/2020,Switzerland
4,Falling,Trevor Daniel,175728,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa,12/27/2019,1/3/2020,Switzerland
5,Memories,Maroon 5,159600,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM,12/27/2019,1/3/2020,Switzerland
6,Ride It,Regard,156553,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ,12/27/2019,1/3/2020,Switzerland
7,Vor der Tür,Gzuz,154979,https://open.spotify.com/track/2LgsKzO8lCeXk0TMd9veWW,12/27/2019,1/3/2020,Switzerland
8,Blinding Lights,The Weeknd,154241,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD,12/27/2019,1/3/2020,Switzerland
9,Someone You Loved,Lewis Capaldi,152675,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,12/27/2019,1/3/2020,Switzerland
10,Ayy Macarena,Tyga,151759,https://open.spotify.com/track/6LcauUZjF1eXQrgqMUecHX,12/27/2019,1/3/2020,Switzerland
11,everything i wanted,Billie Eilish,151137,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ,12/27/2019,1/3/2020,Switzerland
12,Señorita,Shawn Mendes,147853,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2,12/27/2019,1/3/2020,Switzerland
13,RITMO (Bad Boys For Life),Black Eyed Peas,144321,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf,12/27/2019,1/3/2020,Switzerland
14,Ne reviens pas,Gradur,140073,https://open.spotify.com/track/4TnFANpjVwVKWzkxNzIyFH,12/27/2019,1/3/2020,Switzerland
