Position,Track Name,Artist,Streams,URL,Week Beginning,Week Ending,Country
1,Dance Monkey,Tones And I,3247913,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,12/27/2019,1/3/2020,United Kingdom
2,Own It (feat. Ed Sheeran & Burna Boy),Stormzy,2779032,https://open.spotify.com/track/4QPEwDdOMhY7rNS05mTyMR,12/27/2019,1/3/2020,United Kingdom
3,ROXANNE,Arizona Zervas,2677018,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK,12/27/2019,1/3/2020,United Kingdom
4,Don't Start Now,Dua Lipa,2181098,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg,12/27/2019,1/3/2020,United Kingdom
5,Before You Go,Lewis Capaldi,2180091,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP,12/27/2019,1/3/2020,United Kingdom
6,everything i wanted,Billie Eilish,1813752,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ,12/27/2019,1/3/2020,United Kingdom
7,Someone You Loved,Lewis Capaldi,1709271,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,12/27/2019,1/3/2020,United Kingdom
8,Adore You,Harry Styles,1553975,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7,12/27/2019,1/3/2020,United Kingdom
9,Lose Control,MEDUZA,1496316,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK,12/27/2019,1/3/2020,United Kingdom
10,Ride It,Regard,1490461,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ,12/27/2019,1/3/2020,United Kingdom
11,bad guy,Billie Eilish,1471399,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,12/27/2019,1/3/2020,United Kingdom
12,Falling,Trevor Daniel,1451945,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa,12/27/2019,1/3/2020,United Kingdom
13,hot girl bummer,blackbear,1387352,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku,12/27/2019,1/3/2020,United Kingdom
14,My Oh My (feat. DaBaby),Camila Cabello,1362048,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K,12/27/2019,1/3/2020,United Kingdom
15,Circles,Post Malone,1351334,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,12/27/2019,1/3/2020,United Kingdom
16,Vossi Bop,Stormzy,1331096,https://open.spotify.com/track/5DXKtoZLm31msT7tNGNHLG,12/27/2019,1/3/2020,United Kingdom
17,Memories,Maroon 5,1298875,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM,12/27/2019,1/3/2020,United Kingdom
18,Pump It Up,Endor,1280434,https://open.spotify.com/track/0GiwV6v3AgJfdu59tj719Y,12/27/2019,1/3/2020,United Kingdom
19,Blinding Lights,The Weeknd,1257095,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD,12/27/2019,1/3/2020,United Kingdom
20,Lights Up,Harry Styles,1243149,https://open.spotify.com/track/4jAIqgrPjKLTY9Gbez25Qb,12/27/2019,1/3/2020,United Kingdom
21,South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,1199728,https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk,12/27/2019,1/3/2020,United Kingdom
22,Watermelon Sugar,Harry Styles,1174600,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY,12/27/2019,1/3/2020,United Kingdom
23,Ladbroke Grove,AJ Tracey,1132871,https://open.spotify.com/track/7b4ky1LlQLFhXHmhZkFgqV,12/27/2019,1/3/2020,United Kingdom
24,Audacity (feat. Headie One),Stormzy,1115415,https://open.spotify.com/track/6Oq4fiDzKaFMU89dTvM24u,12/27/2019,1/3/2020,United Kingdom
25,Bruises,Lewis Capaldi,1096795,https://open.spotify.com/track/4Of7rzpRpV1mWRbhp5rAqG,12/27/2019,1/3/2020,United Kingdom
26,Lose You To Love Me,Selena Gomez,1081779,https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5,12/27/2019,1/3/2020,United Kingdom
27,This Is Real (ft. Ella Henderson),Jax Jones,1067847,https://open.spotify.com/track/1pRShUtGOG6ZP5fsnw9G4h,12/27/2019,1/3/2020,United Kingdom
28,Lucid Dreams,Juice WRLD,1035532,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR,12/27/2019,1/3/2020,United Kingdom
29,Heartless,The Weeknd,1011769,https://open.spotify.com/track/57vxBYXtHMk6H1aD29V7PU,12/27/2019,1/3/2020,United Kingdom
30,Señorita,Shawn Mendes,1011331,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2,12/27/2019,1/3/2020,United Kingdom
31,I Don't Care (with Justin Bieber),Ed Sheeran,971097,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9,12/27/2019,1/3/2020,United Kingdom
