,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,,,,
Position,Track Name,Artist,Streams,URL,Week Beginning,Week Ending,Country
1,Dance Monkey,Tones And I,174027,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,12/27/2019,1/3/2020,Czech Republic
2,Neviditelnej,Kontrafakt,97462,https://open.spotify.com/track/1ZX3Qk3dnbGhMUwvlIMwWt,12/27/2019,1/3/2020,Czech Republic
3,Falling,Trevor Daniel,92769,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa,12/27/2019,1/3/2020,Czech Republic
4,Až na měsíc,Viktor Sheen,85479,https://open.spotify.com/track/2687fXBlOk6u6fiwLJ4E1l,12/27/2019,1/3/2020,Czech Republic
5,Zrovna jí to najelo,CA$HANOVA BULHAR,79860,https://open.spotify.com/track/1waxcXUYLEme2y1qnubHma,12/27/2019,1/3/2020,Czech Republic
6,ROXANNE,Arizona Zervas,79441,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK,12/27/2019,1/3/2020,Czech Republic
7,bad guy,Billie Eilish,78607,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,12/27/2019,1/3/2020,Czech Republic
8,Růže,Calin,78508,https://open.spotify.com/track/0snC0JRK2kq9AbB0AjWTm8,12/27/2019,1/3/2020,Czech Republic
9,Señorita,Shawn Mendes,77725,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2,12/27/2019,1/3/2020,Czech Republic
10,Someone You Loved,Lewis Capaldi,73055,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,12/27/2019,1/3/2020,Czech Republic
11,Don't Start Now,Dua Lipa,65719,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg,12/27/2019,1/3/2020,Czech Republic
12,Circles,Post Malone,65470,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,12/27/2019,1/3/2020,Czech Republic
13,Memories,Maroon 5,65198,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM,12/27/2019,1/3/2020,Czech Republic
14,everything i wanted,Billie Eilish,63723,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ,12/27/2019,1/3/2020,Czech Republic
15,Kytky z pumpy,Renne Dang,58120,https://open.spotify.com/track/0yPHAfN6d4Id9dsUeuWhJm,12/27/2019,1/3/2020,Czech Republic
16,Mráz,Viktor Sheen,57522,https://open.spotify.com/track/6MlldqBpDJty0FAqJOi8EY,12/27/2019,1/3/2020,Czech Republic
17,J Lo,Kontrafakt,56923,https://open.spotify.com/track/66Cr54dci8JYsaVnqzrSjb,12/27/2019,1/3/2020,Czech Republic
18,Blinding Lights,The Weeknd,56021,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD,12/27/2019,1/3/2020,Czech Republic
19,Beautiful People (feat. Khalid),Ed Sheeran,55215,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv,12/27/2019,1/3/2020,Czech Republic
20,Sladká,Dorian,53908,https://open.spotify.com/track/53babpnCbhRGyme9RPksyf,12/27/2019,1/3/2020,Czech Republic
21,hot girl bummer,blackbear,51640,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku,12/27/2019,1/3/2020,Czech Republic
22,Ride It,Regard,49541,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ,12/27/2019,1/3/2020,Czech Republic
23,Černobílej svět,Viktor Sheen,48929,https://open.spotify.com/track/49yeFC92MyOcVU8tiit4wj,12/27/2019,1/3/2020,Czech Republic
24,HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX,Travis Scott,48851,https://open.spotify.com/track/7h0d2h0fUmzbs7zeFigJPn,12/27/2019,1/3/2020,Czech Republic
25,Shallow,Lady Gaga,48067,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,12/27/2019,1/3/2020,Czech Republic
26,My Oh My (feat. DaBaby),Camila Cabello,47206,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K,12/27/2019,1/3/2020,Czech Republic
27,Lose You To Love Me,Selena Gomez,46946,https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5,12/27/2019,1/3/2020,Czech Republic
28,Lucid Dreams,Juice WRLD,46695,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR,12/27/2019,1/3/2020,Czech Republic
29,I Don't Care (with Justin Bieber),Ed Sheeran,46659,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9,12/27/2019,1/3/2020,Czech Republic
30,Adore You,Harry Styles,46305,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7,12/27/2019,1/3/2020,Czech Republic
