,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,,,,
Position,Track Name,Artist,Streams,URL,Week Beginning,Week Ending,Country
1,Hei rakas,BEHM,362024,https://open.spotify.com/track/0tc8HGXosQDC8TTAaON1TP,12/27/2019,1/3/2020,Finland
2,Pintakaasulla,JVG,318139,https://open.spotify.com/track/3eHkFrUUGYuwEgIPRPtW9L,12/27/2019,1/3/2020,Finland
3,Luota Muhun,ibe,317382,https://open.spotify.com/track/4gEvvWYAF3yzv9hEY9f3oy,12/27/2019,1/3/2020,Finland
4,Blinding Lights,The Weeknd,288549,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD,12/27/2019,1/3/2020,Finland
5,Dance Monkey,Tones And I,284957,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,12/27/2019,1/3/2020,Finland
6,everything i wanted,Billie Eilish,253130,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ,12/27/2019,1/3/2020,Finland
7,Falling,Trevor Daniel,239948,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa,12/27/2019,1/3/2020,Finland
8,Jeesei,Gettomasa,225971,https://open.spotify.com/track/6Rs9Zhrvu1jHTvBm4MypAx,12/27/2019,1/3/2020,Finland
9,ROXANNE,Arizona Zervas,221497,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK,12/27/2019,1/3/2020,Finland
10,v!@%#mikko,Pyhimys,206306,https://open.spotify.com/track/3XlrrR3tR56dRC2sgNNhOD,12/27/2019,1/3/2020,Finland
11,Ikuinen vappu,JVG,197682,https://open.spotify.com/track/4ycKgmGOtvuJZVPyvBpVVU,12/27/2019,1/3/2020,Finland
12,Ride It,Regard,180101,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ,12/27/2019,1/3/2020,Finland
13,Teipillä tai rakkaudella,ABREU,178412,https://open.spotify.com/track/2vdsyiA0RcYs3C9VMnmYac,12/27/2019,1/3/2020,Finland
14,Don't Start Now,Dua Lipa,174154,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg,12/27/2019,1/3/2020,Finland
