,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Dynamite,BTS,1653304,https://open.spotify.com/track/0t1kP63rueHleOhQkYSXFY
2,"Ice Cream (with Selena Gomez)",BLACKPINK,1205107,https://open.spotify.com/track/2J4P46vCFm1rPkNkp9pZWX
3,Shayad,Pritam,857675,https://open.spotify.com/track/1smFN2CLqGROu0J0UyvDfL
4,Chidiya,Vilen,733934,https://open.spotify.com/track/7mNZUnDWUDidWBFaUpVtOC
5,Khairiyat,"Arijit Singh",723639,https://open.spotify.com/track/5O932cZmzOZGOGZz9RHx20
6,G.O.A.T.,"Diljit Dosanjh",697843,https://open.spotify.com/track/46QbY78ha62aiu6gBgC7lS
7,Liggi,Ritviz,697711,https://open.spotify.com/track/66Nmp3ztIMqX1j8yYtWl1X
8,"Savage Love (Laxed - Siren Beat)","Jawsh 685",679273,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
9,"Main Tumhara","A.R. Rahman",672850,https://open.spotify.com/track/2ZvWoJ82LKCgD0nU9H5ue5
10,"Play Date","Melanie Martinez",635290,https://open.spotify.com/track/4DpNNXFMMxQEKl7r0ykkWA
11,"ily (i love you baby) (feat. Emilee)","Surf Mesa",625752,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
12,Makhna,"Tanishk Bagchi",596803,https://open.spotify.com/track/0ZHILXmUaVSLEOCWxPQ1ga
13,"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")","Arijit Singh",589306,https://open.spotify.com/track/2Fv2injs4qAm8mJBGaxVKU
14,"Blinding Lights","The Weeknd",539223,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
15,Falling,"Trevor Daniel",525595,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
16,"Ghungroo (From ""War"")","Arijit Singh",524957,https://open.spotify.com/track/0WdbnNKO0Jt4BZACSDQh44
17,"WAP (feat. Megan Thee Stallion)","Cardi B",519996,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
18,"Tu Hi Yaar Mera (From ""Pati Patni Aur Woh"")","Rochak Kohli",517714,https://open.spotify.com/track/57jOEZtoLQK4zF2x55bdkp
19,Memories,"Maroon 5",506229,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
20,Clash,"Diljit Dosanjh",489613,https://open.spotify.com/track/7krGSbOnw13S7tIpgVEWAo
21,"How You Like That",BLACKPINK,478983,https://open.spotify.com/track/3vAn0qZzdyuHamcrpkfiX3
22,Señorita,"Shawn Mendes",469432,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
23,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,465291,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
24,"Roses - Imanbek Remix","SAINt JHN",455526,https://open.spotify.com/track/2Wo6QQD1KMDWeFkkjLqwx5
25,"death bed (coffee for your head)",Powfu,448712,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
26,"Mere Liye Tum Kaafi Ho (From ""Shubh Mangal Zyada Saavdhan"")","Ayushmann Khurrana",447373,https://open.spotify.com/track/3qrdLVOClRU4yPkcXZ7c5u
27,"Genda Phool (feat. Payal Dev)",Badshah,441307,https://open.spotify.com/track/0gzu5mm36VJH2Zqu8sQPTf
28,Feelings,"Sumit Goswami",438980,https://open.spotify.com/track/0LRNOwAcNjPMxTYQahFo3S
29,"Watermelon Sugar","Harry Styles",437464,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
30,"Humraah (From ""Malang - Unleash The Madness"")","Sachet Tandon",436457,https://open.spotify.com/track/4xmkpE1Si5JL7NFxWrhV0S
31,"Kaise Hua (From ""Kabir Singh"")","Vishal Mishra",436047,https://open.spotify.com/track/1y1rQTkWmrZdJmjwuK07GC
32,"Malang (Title Track) [From ""Malang - Unleash The Madness""]","Ved Sharma",434305,https://open.spotify.com/track/25MPTnqXQB1H6OkwSYUXWx
33,"Agar Tum Saath Ho (From ""Tamasha"")","Alka Yagnik",421211,https://open.spotify.com/track/1fzAokzOONl4XEPUFoammu
34,"Kya Baat Aa","Karan Aujla",415864,https://open.spotify.com/track/5XBUtdLhHkWMacY3I5kz8X
35,"Udd Gaye - Bacardi House Party Sessions",Ritviz,410375,https://open.spotify.com/track/6wZJsut8fjiWiMPaccRAOX
36,"Illegal Weapon 2.0","Jasmine Sandlas",409847,https://open.spotify.com/track/7CY0CmCpSglfUKCBOOiRfw
37,"Duniyaa (From ""Luka Chuppi"")",Akhil,407819,https://open.spotify.com/track/3s3J70eRpRH2hcYq4mEXTJ
38,"Dance Monkey","Tones And I",390368,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
39,"lovely (with Khalid)","Billie Eilish",383386,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
40,Mehrama,Pritam,380787,https://open.spotify.com/track/6cUOiOY5qh2FpIQWIYAd2h
41,"Namo Namo","Amit Trivedi",378337,https://open.spotify.com/track/5QtQFSdyZEl0w4iDxAyv76
42,"Pal Pal Dil Ke Paas- Title Track","Arijit Singh",375045,https://open.spotify.com/track/7lGhrfren1Zpwh0ds0zuUg
43,"Garmi (From ""Street Dancer 3D"") (feat. Varun Dhawan)",Badshah,369858,https://open.spotify.com/track/6q9XTgfWilsnyiFofvYrIF
44,Believer,"Imagine Dragons",365219,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
45,"Haan Main Galat",Pritam,364470,https://open.spotify.com/track/0MLZAgKQKHbPsJ12qHS860
46,"No Competition","Jass Manak",358915,https://open.spotify.com/track/0kCdXeYJS3wyhcvOonRmeg
47,"TKN (feat. Travis Scott)",ROSALÍA,357804,https://open.spotify.com/track/4w47S36wQGBhGg073q3nt7
48,"Khulke Jeene Ka","A.R. Rahman",354491,https://open.spotify.com/track/1XFZMenJ30FfGOsj8X5sqf
49,"Dil Bechara","A.R. Rahman",349797,https://open.spotify.com/track/4UJkUnfEEL8B2JZ1OQfYOO
50,"Boy With Luv (feat. Halsey)",BTS,348110,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c
51,"Intentions (feat. Quavo)","Justin Bieber",332514,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
52,"Bekhayali (From ""Kabir Singh"")","Sachet Tandon",330974,https://open.spotify.com/track/1feANd8EfcDP5UqSvbheM3
53,"Can We Kiss Forever?",Kina,328436,https://open.spotify.com/track/58wyJLv6yH1La9NIZPl3ne
54,"Tera Ban Jaunga (From ""Kabir Singh"")","Akhil Sachdeva",326868,https://open.spotify.com/track/4OcvkkpF3xmyCGGY5IBlgi
55,"Tum Se Hi","Ankit Tiwari",321559,https://open.spotify.com/track/4W49kIadQlZGLr1waTuHR3
56,Qaafirana,"Arijit Singh",319795,https://open.spotify.com/track/0xkGTPTijMU84dtHr3KQQi
57,"Mood (feat. iann dior)",24kGoldn,316352,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
58,Sakhiyaan,"Maninder Buttar",314457,https://open.spotify.com/track/3sqRODOZ1Z6hR4F2tnFAlg
59,"Tum Hi Aana (From ""Marjaavaan"")","Payal Dev",307983,https://open.spotify.com/track/6E9UwSfT80age2xknoMS7Y
60,"Tere Naal","Tulsi Kumar",304201,https://open.spotify.com/track/2Vw94w6FxCyaYwyCivi9Py
61,"Ek Tarfa","Darshan Raval",303911,https://open.spotify.com/track/64r6z0P3RnhpTGdkA7p5Os
62,"Yes or No","Jass Manak",302864,https://open.spotify.com/track/7JzxfyTnhw4dCb35O3ojgn
63,"Jaan 'Nisaar (Arijit)","Arijit Singh",298692,https://open.spotify.com/track/6pzlnyHTVYi5FOmrgOmC95
64,"Someone You Loved","Lewis Capaldi",296089,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
65,"On My Way","Alan Walker",292415,https://open.spotify.com/track/7KhHA3mzt7A3LFlOJEAKpI
66,"Taare Ginn","A.R. Rahman",291959,https://open.spotify.com/track/1wbxjQnN7MTk8MKt3SumyY
67,Kasoor,"Prateek Kuhad",291899,https://open.spotify.com/track/08kTa3SL9sV6Iy8KLKtGql
68,"Without Me",Halsey,291307,https://open.spotify.com/track/6FZDfxM3a3UCqtzo5pxSLZ
69,Cradles,"Sub Urban",288703,https://open.spotify.com/track/1y4jsQt7MjnZhiD1L6qFBC
70,"Tera Yaar Hoon Main (From ""Sonu Ke Titu Ki Sweety"")","Arijit Singh",288359,https://open.spotify.com/track/1aIhAX6324JZmhNnGltwkK
71,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",286930,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
