,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Titliaan,"Afsana Khan",1456573,https://open.spotify.com/track/1980E4Grgu5xAhNbFZ1mb1
2,Waalian,Harnoor,1417075,https://open.spotify.com/track/4Nc4ojIRbHohLiX9NmKkVh
3,Mirchi,DIVINE,1362478,https://open.spotify.com/track/7zKzD5wM18bQSiJTAxTpwH
4,Shayad,Pritam,1311332,https://open.spotify.com/track/1smFN2CLqGROu0J0UyvDfL
5,willow,"Taylor Swift",1283835,https://open.spotify.com/track/3Uo7WG0vmLQ07WB4BDwy7D
6,positions,"Ariana Grande",1245355,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
7,"Naach Meri Rani","Guru Randhawa",1143199,https://open.spotify.com/track/1orM67pmkNc4alrZkWjYkV
8,Dynamite,BTS,1101809,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
9,"Aabaad Barbaad (From ""Ludo"")",Pritam,1076775,https://open.spotify.com/track/0hFUtSsV2itYEUTZGj6w5H
10,Liggi,Ritviz,1017392,https://open.spotify.com/track/66Nmp3ztIMqX1j8yYtWl1X
11,"Life Goes On",BTS,976940,https://open.spotify.com/track/249gnXrbfmV8NG6jTEMSwD
12,"Mood (feat. iann dior)",24kGoldn,964316,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
13,"Temporary Pyar","Adaab Kharound",947256,https://open.spotify.com/track/461JKAn7H6Sbx0ql9IvRUG
14,"BurjKhalifa (From ""Laxmii"")",Shashi,862165,https://open.spotify.com/track/3ZVKI8jix6PjEFx2xFBFhz
15,Khairiyat,"Arijit Singh",855967,https://open.spotify.com/track/5O932cZmzOZGOGZz9RHx20
16,"Teri Aankhon Mein","Darshan Raval",842902,https://open.spotify.com/track/3wmI2n0Whs6kg4MT8jFRU1
17,"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")","Arijit Singh",823942,https://open.spotify.com/track/2Fv2injs4qAm8mJBGaxVKU
18,"Agar Tum Saath Ho (From ""Tamasha"")","Alka Yagnik",816007,https://open.spotify.com/track/2FCXQHugkoHE1K3tiDu8pu
19,"Taaron Ke Shehar","Neha Kakkar",800093,https://open.spotify.com/track/1r6sFC5J0p9r3jcfIoSGDM
20,"Care Ni Karda (From ""Chhalaang"")","Sweetaj Brar",793535,https://open.spotify.com/track/6e5DH8YHXdM40ROnD76hZd
21,"Ghungroo (From ""War"")","Arijit Singh",752671,https://open.spotify.com/track/0WdbnNKO0Jt4BZACSDQh44
22,"Tu Hi Yaar Mera (From ""Pati Patni Aur Woh"")","Rochak Kohli",715119,https://open.spotify.com/track/57jOEZtoLQK4zF2x55bdkp
23,"Blinding Lights","The Weeknd",707805,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
24,Makhna,"Tanishk Bagchi",695655,https://open.spotify.com/track/0ZHILXmUaVSLEOCWxPQ1ga
25,"No Competition","Jass Manak",694571,https://open.spotify.com/track/4AVe62GFbb3ffKXjUSpiuv
26,"Play Date","Melanie Martinez",679911,https://open.spotify.com/track/4DpNNXFMMxQEKl7r0ykkWA
27,"lovely (with Khalid)","Billie Eilish",637102,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
