,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,,,,
Position,Track Name,Artist,Streams,URL,Week Beginning,Week Ending,Country
1,Dance Monkey,Tones And I,378494,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,12/27/2019,1/3/2020,Ireland
2,Before You Go,Lewis Capaldi,338254,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP,12/27/2019,1/3/2020,Ireland
3,Don't Start Now,Dua Lipa,328536,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg,12/27/2019,1/3/2020,Ireland
4,ROXANNE,Arizona Zervas,312290,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK,12/27/2019,1/3/2020,Ireland
5,Own It (feat. Ed Sheeran & Burna Boy),Stormzy,289336,https://open.spotify.com/track/4QPEwDdOMhY7rNS05mTyMR,12/27/2019,1/3/2020,Ireland
6,everything i wanted,Billie Eilish,258904,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ,12/27/2019,1/3/2020,Ireland
7,My Oh My (feat. DaBaby),Camila Cabello,249281,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K,12/27/2019,1/3/2020,Ireland
8,Memories,Maroon 5,228690,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM,12/27/2019,1/3/2020,Ireland
9,Someone You Loved,Lewis Capaldi,217152,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,12/27/2019,1/3/2020,Ireland
10,Circles,Post Malone,212929,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,12/27/2019,1/3/2020,Ireland
11,Falling,Trevor Daniel,212353,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa,12/27/2019,1/3/2020,Ireland
12,Ride It,Regard,210161,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ,12/27/2019,1/3/2020,Ireland
13,Adore You,Harry Styles,205909,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7,12/27/2019,1/3/2020,Ireland
14,Lose Control,MEDUZA,204456,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK,12/27/2019,1/3/2020,Ireland
15,hot girl bummer,blackbear,193990,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku,12/27/2019,1/3/2020,Ireland
16,Outnumbered,Dermot Kennedy,187225,https://open.spotify.com/track/4Ta3PhWmY50ZLU1uhKFKPE,12/27/2019,1/3/2020,Ireland
17,Lose You To Love Me,Selena Gomez,182675,https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5,12/27/2019,1/3/2020,Ireland
18,Pump It Up,Endor,179892,https://open.spotify.com/track/0GiwV6v3AgJfdu59tj719Y,12/27/2019,1/3/2020,Ireland
19,South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,171319,https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk,12/27/2019,1/3/2020,Ireland
20,Lights Up,Harry Styles,168793,https://open.spotify.com/track/4jAIqgrPjKLTY9Gbez25Qb,12/27/2019,1/3/2020,Ireland
21,bad guy,Billie Eilish,163793,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,12/27/2019,1/3/2020,Ireland
22,Blinding Lights,The Weeknd,162368,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD,12/27/2019,1/3/2020,Ireland
23,Nice To Meet Ya,Niall Horan,156373,https://open.spotify.com/track/3cphb8kdsjElYR7r5icK3H,12/27/2019,1/3/2020,Ireland
24,Watermelon Sugar,Harry Styles,149997,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY,12/27/2019,1/3/2020,Ireland
25,This Is Real (ft. Ella Henderson),Jax Jones,143913,https://open.spotify.com/track/1pRShUtGOG6ZP5fsnw9G4h,12/27/2019,1/3/2020,Ireland
26,Bruises,Lewis Capaldi,134013,https://open.spotify.com/track/4Of7rzpRpV1mWRbhp5rAqG,12/27/2019,1/3/2020,Ireland
27,Vossi Bop,Stormzy,133371,https://open.spotify.com/track/5DXKtoZLm31msT7tNGNHLG,12/27/2019,1/3/2020,Ireland
28,Lucid Dreams,Juice WRLD,132598,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR,12/27/2019,1/3/2020,Ireland
29,Turn Me On (feat. Vula),Riton,130022,https://open.spotify.com/track/0qaWEvPkts34WF68r8Dzx9,12/27/2019,1/3/2020,Ireland
30,Señorita,Shawn Mendes,123517,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2,12/27/2019,1/3/2020,Ireland
31,Power Over Me,Dermot Kennedy,121161,https://open.spotify.com/track/4tViDtaHuSLnh7HVJTrKhs,12/27/2019,1/3/2020,Ireland
32,Heartless,The Weeknd,119307,https://open.spotify.com/track/57vxBYXtHMk6H1aD29V7PU,12/27/2019,1/3/2020,Ireland
33,Audacity (feat. Headie One),Stormzy,113557,https://open.spotify.com/track/6Oq4fiDzKaFMU89dTvM24u,12/27/2019,1/3/2020,Ireland
34,Ladbroke Grove,AJ Tracey,108848,https://open.spotify.com/track/7b4ky1LlQLFhXHmhZkFgqV,12/27/2019,1/3/2020,Ireland
35,Beautiful People (feat. Khalid),Ed Sheeran,108299,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv,12/27/2019,1/3/2020,Ireland
36,All My Friends,Dermot Kennedy,107589,https://open.spotify.com/track/70pP6E6VvznsfrSsznnQnk,12/27/2019,1/3/2020,Ireland
37,The Box,Roddy Ricch,105010,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I,12/27/2019,1/3/2020,Ireland
38,Good as Hell (feat. Ariana Grande) - Remix,Lizzo,103273,https://open.spotify.com/track/07Oz5StQ7GRoygNLaXs2pd,12/27/2019,1/3/2020,Ireland
39,Falling,Harry Styles,103101,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp,12/27/2019,1/3/2020,Ireland
40,Hold Me While You Wait,Lewis Capaldi,101377,https://open.spotify.com/track/60iSKGrGazRzICtMjADNSM,12/27/2019,1/3/2020,Ireland
41,Belter,Gerry Cinnamon,99896,https://open.spotify.com/track/3buZ8XXWl8OJriJXL48XJc,12/27/2019,1/3/2020,Ireland
42,I Don't Care (with Justin Bieber),Ed Sheeran,99487,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9,12/27/2019,1/3/2020,Ireland
43,3 Nights,Dominic Fike,97474,https://open.spotify.com/track/1tNJrcVe6gwLEiZCtprs1u,12/27/2019,1/3/2020,Ireland
44,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,94250,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY,12/27/2019,1/3/2020,Ireland
45,Ransom,Lil Tecca,91926,https://open.spotify.com/track/1lOe9qE0vR9zwWQAOk6CoO,12/27/2019,1/3/2020,Ireland
46,Canter,Gerry Cinnamon,90769,https://open.spotify.com/track/4p9aWfBThbAeVuqhzFnBxl,12/27/2019,1/3/2020,Ireland
47,Rome,Dermot Kennedy,90615,https://open.spotify.com/track/2ZwihAP8zB5XX1CmYIOBbF,12/27/2019,1/3/2020,Ireland
48,HIGHEST IN THE ROOM,Travis Scott,89204,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW,12/27/2019,1/3/2020,Ireland
49,Up All Night,Khalid,86531,https://open.spotify.com/track/1mpD5Q8IM32I4bF6eCpU74,12/27/2019,1/3/2020,Ireland
50,July,Noah Cyrus,85537,https://open.spotify.com/track/5a6pdCHlWS2ekOOQ70QnAr,12/27/2019,1/3/2020,Ireland
51,when the party's over,Billie Eilish,85385,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I,12/27/2019,1/3/2020,Ireland
52,HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX,Travis Scott,82586,https://open.spotify.com/track/7h0d2h0fUmzbs7zeFigJPn,12/27/2019,1/3/2020,Ireland
53,Bandit (with YoungBoy Never Broke Again),Juice WRLD,82510,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd,12/27/2019,1/3/2020,Ireland
54,Sorry,Joel Corry,81135,https://open.spotify.com/track/6y1UtRcHQU07aUs3oxZ8Yn,12/27/2019,1/3/2020,Ireland
55,No Idea,Don Toliver,79673,https://open.spotify.com/track/3VyjsVV24RmBIbWJAeUJNu,12/27/2019,1/3/2020,Ireland
56,Crown,Stormzy,79250,https://open.spotify.com/track/4CEGyF5A5u5BjweVvkgCsn,12/27/2019,1/3/2020,Ireland
57,Shallow,Lady Gaga,78907,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,12/27/2019,1/3/2020,Ireland
58,Piece Of Your Heart,MEDUZA,77336,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs,12/27/2019,1/3/2020,Ireland
59,BOP,DaBaby,75570,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN,12/27/2019,1/3/2020,Ireland
60,Robbery,Juice WRLD,74552,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ,12/27/2019,1/3/2020,Ireland
61,Lost,Dermot Kennedy,74155,https://open.spotify.com/track/0QrUw86ZKRgNGGgrvC5yC5,12/27/2019,1/3/2020,Ireland
62,Higher Love,Kygo,72972,https://open.spotify.com/track/6oJ6le65B3SEqPwMRNXWjY,12/27/2019,1/3/2020,Ireland
63,How Do You Sleep?,Sam Smith,72845,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y,12/27/2019,1/3/2020,Ireland
64,Location (feat. Burna Boy),Dave,72600,https://open.spotify.com/track/3z4CGd63tpUn9a6oQSG0CI,12/27/2019,1/3/2020,Ireland
65,Old Town Road - Remix,Lil Nas X,72354,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG,12/27/2019,1/3/2020,Ireland
66,Suicidal,YNW Melly,71150,https://open.spotify.com/track/1iSqfoUFnQwV0QW1EfUit8,12/27/2019,1/3/2020,Ireland
67,7 rings,Ariana Grande,70151,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF,12/27/2019,1/3/2020,Ireland
68,Lessons,Stormzy,69827,https://open.spotify.com/track/5iVGN1Th2DqyWVNIBM8Vwk,12/27/2019,1/3/2020,Ireland
69,Roses - Imanbek Remix,SAINt JHN,69270,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI,12/27/2019,1/3/2020,Ireland
70,Grace,Lewis Capaldi,68969,https://open.spotify.com/track/0pEkK8MqbmGSX7fT8WLMbR,12/27/2019,1/3/2020,Ireland
71,Post Malone (feat. RANI),Sam Feldt,68758,https://open.spotify.com/track/36orMWv2PgvnzXsd5CJ0yL,12/27/2019,1/3/2020,Ireland
72,God Is A Dancer (with Mabel),Tiësto,68550,https://open.spotify.com/track/6fenHIxXuuzKB55wY4WCHP,12/27/2019,1/3/2020,Ireland
73,Don't Call Me Up,Mabel,67925,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8,12/27/2019,1/3/2020,Ireland
74,Shotgun,George Ezra,67710,https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC,12/27/2019,1/3/2020,Ireland
75,One Night,Picture This,66665,https://open.spotify.com/track/7F8voH6D8afEt9GUUcDPfV,12/27/2019,1/3/2020,Ireland
76,Look At Her Now,Selena Gomez,66566,https://open.spotify.com/track/4yI3HpbSFSgFZtJP2kDe5m,12/27/2019,1/3/2020,Ireland
77,If the World Was Ending - feat. Julia Michaels,JP Saxe,66045,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ,12/27/2019,1/3/2020,Ireland
78,Taste (Make It Shake),Aitch,65364,https://open.spotify.com/track/1xPpYbCaJWonL7IFXPDjON,12/27/2019,1/3/2020,Ireland
79,Into the Unknown,Idina Menzel,64690,https://open.spotify.com/track/3Z0oQ8r78OUaHvGPiDBR3W,12/27/2019,1/3/2020,Ireland
80,Truth Hurts,Lizzo,64610,https://open.spotify.com/track/5qmq61DAAOUaW8AUo8xKhh,12/27/2019,1/3/2020,Ireland
81,Yellow Hearts,Ant Saunders,64188,https://open.spotify.com/track/2W4yABdLc4Jnds67Poi5Nl,12/27/2019,1/3/2020,Ireland
82,What Have I Done,Dermot Kennedy,63915,https://open.spotify.com/track/0hpaWop2LUln6yJ7b0eOza,12/27/2019,1/3/2020,Ireland
83,Trampoline,SHAED,63805,https://open.spotify.com/track/4HBvwhhYo7YiYXkUDrOHzS,12/27/2019,1/3/2020,Ireland
84,Wow.,Post Malone,61061,https://open.spotify.com/track/7xQAfvXzm3AkraOtGPWIZg,12/27/2019,1/3/2020,Ireland
85,Mr. Brightside,The Killers,61017,https://open.spotify.com/track/7d8GetOsjbxYnlo6Y9e5Kw,12/27/2019,1/3/2020,Ireland
86,ocean eyes,Billie Eilish,60849,https://open.spotify.com/track/2uIX8YMNjGMD7441kqyyNU,12/27/2019,1/3/2020,Ireland
87,lovely (with Khalid),Billie Eilish,60562,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4,12/27/2019,1/3/2020,Ireland
88,Liar,Camila Cabello,60050,https://open.spotify.com/track/073ILU1C3APNRGF66VhtyA,12/27/2019,1/3/2020,Ireland
89,Strike a Pose (feat. Aitch),Young T & Bugsey,58789,https://open.spotify.com/track/23GvTfcGK454ppLsts3W44,12/27/2019,1/3/2020,Ireland
90,Professor X,Dave,58609,https://open.spotify.com/track/5wfyoR8XOkw45QRtFOoxyi,12/27/2019,1/3/2020,Ireland
91,Goodbyes (Feat. Young Thug),Post Malone,57972,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo,12/27/2019,1/3/2020,Ireland
92,Sweet but Psycho,Ava Max,57743,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim,12/27/2019,1/3/2020,Ireland
93,Say So,Doja Cat,57734,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ,12/27/2019,1/3/2020,Ireland
94,Futsal Shuffle 2020,Lil Uzi Vert,57413,https://open.spotify.com/track/2Ec33AVlkTTq8BHFgBTdQs,12/27/2019,1/3/2020,Ireland
95,Eastside (with Halsey & Khalid),benny blanco,56224,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU,12/27/2019,1/3/2020,Ireland
96,The Last Time,The Script,55980,https://open.spotify.com/track/600oiqLkQIJ85HvQGIQWvO,12/27/2019,1/3/2020,Ireland
97,Ballin' (with Roddy Ricch),Mustard,55545,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY,12/27/2019,1/3/2020,Ireland
98,Wiley Flow,Stormzy,55535,https://open.spotify.com/track/5Rbj8akony3l0NNM5TjH1F,12/27/2019,1/3/2020,Ireland
99,Sucker,Jonas Brothers,55323,https://open.spotify.com/track/22vgEDb5hykfaTwLuskFGD,12/27/2019,1/3/2020,Ireland
100,Better Half of Me,Tom Walker,54770,https://open.spotify.com/track/4VPlKUSjC9HdZdUbFZ0Y5y,12/27/2019,1/3/2020,Ireland
101,"fuck, i'm lonely (with Anne-Marie) - from “13 Reasons Why: Season 3”",Lauv,54685,https://open.spotify.com/track/4wopYJ5wpYOM6ogm2Jugnw,12/27/2019,1/3/2020,Ireland
102,bury a friend,Billie Eilish,54541,https://open.spotify.com/track/4SSnFejRGlZikf02HLewEF,12/27/2019,1/3/2020,Ireland
103,Family,The Chainsmokers,54217,https://open.spotify.com/track/3TKpJrY9q49Mj1JOsM9zGL,12/27/2019,1/3/2020,Ireland
104,Fairytale of New York (feat. Kirsty MacColl),The Pogues,53956,https://open.spotify.com/track/3VTNVsTTu05dmTsVFrmGpK,12/27/2019,1/3/2020,Ireland
