,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,,,,
Position,Track Name,Artist,Streams,URL,Week Beginning,Week Ending,Country
1,Dance Monkey,Tones And I,98499,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,12/27/2019,1/3/2020,South Africa
2,Circles,Post Malone,61454,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,12/27/2019,1/3/2020,South Africa
3,Memories,Maroon 5,61399,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM,12/27/2019,1/3/2020,South Africa
4,Lorch,Kabza De Small,56658,https://open.spotify.com/track/1E8jmVFDwAWbDzsjjniKGO,12/27/2019,1/3/2020,South Africa
5,Señorita,Shawn Mendes,52282,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2,12/27/2019,1/3/2020,South Africa
6,Falling,Trevor Daniel,50218,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa,12/27/2019,1/3/2020,South Africa
7,ROXANNE,Arizona Zervas,49773,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK,12/27/2019,1/3/2020,South Africa
8,Beautiful People (feat. Khalid),Ed Sheeran,48835,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv,12/27/2019,1/3/2020,South Africa
9,Don't Start Now,Dua Lipa,47959,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg,12/27/2019,1/3/2020,South Africa
10,Akulaleki,Samthing Soweto,43424,https://open.spotify.com/track/73wcFiFeCQurmHDQIcirbm,12/27/2019,1/3/2020,South Africa
11,Jerusalema,Master KG,43393,https://open.spotify.com/track/5F6tLUQGd7GtiWID9ZEzev,12/27/2019,1/3/2020,South Africa
12,Someone You Loved,Lewis Capaldi,41977,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,12/27/2019,1/3/2020,South Africa
