,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Mood (feat. iann dior)",24kGoldn,89499,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
2,"WAP (feat. Megan Thee Stallion)","Cardi B",86120,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
3,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",84564,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
4,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",76202,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
5,"Laugh Now Cry Later (feat. Lil Durk)",Drake,75595,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI
6,"POPSTAR (feat. Drake)","DJ Khaled",64380,https://open.spotify.com/track/6EDO9iiTtwNv6waLwa1UUq
7,"Xola Moya Wam'","Nomcebo Zikode",62731,https://open.spotify.com/track/0CLyxycXWr4PP7PgeGRn8u
8,"Blinding Lights","The Weeknd",62051,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
9,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,61002,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
10,"Savage Love (Laxed - Siren Beat)","Jawsh 685",58203,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
11,"FRANCHISE (feat. Young Thug & M.I.A.)","Travis Scott",57400,https://open.spotify.com/track/4jVBIpuOiMj1crqd8LoCrJ
12,"Mood Swings (feat. Lil Tjay)","Pop Smoke",56987,https://open.spotify.com/track/5rZlwNFl01HqLWBQGryKSm
13,"Head & Heart (feat. MNEK)","Joel Corry",55262,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
14,"Go Crazy","Chris Brown",54940,https://open.spotify.com/track/1IIKrJVP1C9N7iPtG6eOsK
15,Uthando,"Soa mattrix",52086,https://open.spotify.com/track/4DIoCdiRMAfDgor0Kj76Nj
16,"Roses - Imanbek Remix","SAINt JHN",51518,https://open.spotify.com/track/2Wo6QQD1KMDWeFkkjLqwx5
17,"Holy (feat. Chance The Rapper)","Justin Bieber",50893,https://open.spotify.com/track/5u1n1kITHCxxp8twBcZxWy
18,"Breaking Me",Topic,50377,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
19,"Watermelon Sugar","Harry Styles",49924,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
20,"Jerusalema (feat. Nomcebo Zikode)","Master KG",49784,https://open.spotify.com/track/2MlOUXmcofMackX3bxfSwi
21,Dynamite,BTS,48652,https://open.spotify.com/track/0t1kP63rueHleOhQkYSXFY
22,"What You Know Bout Love","Pop Smoke",46023,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
23,"Jazzidisciples (Zlele)","Reece Madlisa",45346,https://open.spotify.com/track/7DsqUINZuae9IbmMAQgx6y
24,"you broke me first","Tate McRae",44975,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
25,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix","Jack Harlow",44910,https://open.spotify.com/track/2MbdDtCv5LUVjYy9RuGTgC
26,"Wishing Well","Juice WRLD",44244,https://open.spotify.com/track/2U5WueTLIK5WJLD7mvDODv
27,"Someone You Loved","Lewis Capaldi",42201,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
28,"The Woo (feat. 50 Cent & Roddy Ricch)","Pop Smoke",41986,https://open.spotify.com/track/1H7KnK26kc1YyellpbINEn
29,"Come & Go (with Marshmello)","Juice WRLD",40346,https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG
30,"GREECE (feat. Drake)","DJ Khaled",39161,https://open.spotify.com/track/35RJhm1pEovTBwnNR0zWad
31,Dior,"Pop Smoke",38883,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
32,"Amanikiniki (feat. Major League Djz, Kamo Mphela & Bontle Smith)","Mfr Souls",37736,https://open.spotify.com/track/7cVgVA4VO6EaVWvKZGQF9m
33,"Dance Monkey","Tones And I",35535,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
34,"Blueberry Faygo","Lil Mosey",34318,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
35,"Take You Dancing","Jason Derulo",33583,https://open.spotify.com/track/59qrUpoplZxbIZxk6X0Bm3
36,Memories,"Maroon 5",33017,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
37,"Be Kind (with Halsey)",Marshmello,32722,https://open.spotify.com/track/3Z8FwOEN59mRMxDCtb8N0A
