,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Mali Eningi","Big Zulu",96034,https://open.spotify.com/track/1ORbu4FMNtNn0ZmwaCmiPb
2,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",85070,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
3,"Mood (feat. iann dior)",24kGoldn,80874,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
4,Uthando,"Soa Mattrix",76880,https://open.spotify.com/track/5IvqTpprgCdj6dcw588MPZ
5,HOLIDAY,"Lil Nas X",72138,https://open.spotify.com/track/6zFMeegAMYQo0mt8rXtrli
6,"Blinding Lights","The Weeknd",67854,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
7,"Head & Heart (feat. MNEK)","Joel Corry",62089,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
8,"The Business",Tiësto,61529,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
9,positions,"Ariana Grande",59567,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
10,"What You Know Bout Love","Pop Smoke",57307,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
11,Ulazi,"Mr JazziQ",56034,https://open.spotify.com/track/4KHNX2uuE1USVfokLMjlry
12,willow,"Taylor Swift",55656,https://open.spotify.com/track/3Uo7WG0vmLQ07WB4BDwy7D
13,"Sithi Sithi","Reece Madlisa",55486,https://open.spotify.com/track/10sQHZ1h3LYoNGGMDSDx49
14,"WITHOUT YOU","The Kid LAROI",55467,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
15,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",55119,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
16,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,54874,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
17,Dinaledi,"Major League Djz",54157,https://open.spotify.com/track/0kNOuZYnpu1RiQTWXUUzE8
18,"John Vuli Gate (feat. Ntosh Gazi & Colano)","Mapara A Jazz",54030,https://open.spotify.com/track/5JiC9aVRdEaEylSPhs9SXC
19,"Therefore I Am","Billie Eilish",53777,https://open.spotify.com/track/54bFM56PmE4YLRnqpW6Tha
20,"Laugh Now Cry Later (feat. Lil Durk)",Drake,50404,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI
21,"Bella Ciao","Tyler ICU",49935,https://open.spotify.com/track/3am2BKue6ewiBUxjkPEAQd
22,Whoopty,CJ,49025,https://open.spotify.com/track/5vGLcdRuSbUhD8ScwsGSdA
